NAME	description	GSdetails	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
HALLMARK_G2M_CHECKPOINT%MSIGDBHALLMARK%HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT%MSIGDBHALLMARK%HALLMARK_G2M_CHECKPOINT	Details	134	-0.71315125229479	-2.75626927567942	0.00169779286926995	0.0190410909046793	0	2319	HMGA1,DKC1,NOLC1,KPNA2,AURKA,CKS1B,NCL,PRIM2,DBF4,TTK,CHEK1,CDC25A,CDC6,KIF20B,NASP,CKS2,CCNA2,FBXO5,SNRPD1,ORC6,HMMR,SMARCC1,BRCA2,MCM6,FOXN3,PTTG1,HMGB3,UCK2,WRN,TRA2B,CENPE,MYC,HNRNPD,CENPA,MAD2L1,POLA2,KATNA1,AURKB,PLK1,STIL,MCM5,CHAF1A,MYBL2,KIF11,SLC38A1,SUV39H1,NUP50,CCNB2,TRAIP,KNL1,SMC2,PLK4,NUSAP1,ESPL1,TACC3,KIF15,CDC45,SMC4,SRSF10,CDKN3,BIRC5,INCENP,GINS2,CDC20,E2F3,RBL1,UBE2C,KIF23,CTCF,MKI67,BARD1,SLC7A5,SFPQ,TOP2A,NUP98,MT2A,YTHDC1,CENPF,ILF3,CASP8AP2,MCM2
HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	Details	155	-0.754191873434104	-2.97652214154717	0.00177935943060498	0.0190410909046793	0	2568	LYAR,CHEK2,NUP205,HMGA1,MSH2,PA2G4,PHF5A,NOLC1,MTHFD2,UNG,KPNA2,RAN,RPA3,AURKA,DSCC1,CKS1B,PRIM2,GINS1,DLGAP5,PSIP1,CCNE1,CHEK1,CDC25A,RAD51AP1,NASP,CKS2,CTPS1,RBBP7,HELLS,ORC2,ORC6,NUP107,HMMR,TRIP13,BRCA2,SPC25,MCM6,PAICS,RANBP1,NOP56,PTTG1,SMC6,HMGB3,TRA2B,DEK,RRM2,CENPE,MYC,HNRNPD,SNRPB,MMS22L,MAD2L1,POLA2,EXOSC8,SPAG5,CIT,RFC2,AURKB,PLK1,DEPDC1,NUDT21,UBE2T,BRCA1,HMGB2,MCM5,CDCA8,AK2,CDCA3,MYBL2,DUT,E2F8,SUV39H1,SLBP,GINS4,CCNB2,RFC3,PRKDC,TK1,PNN,PLK4,ESPL1,TACC3,TUBB,POLD3,POP7,SMC4,PSMC3IP,RNASEH2A,CDKN3,MCM7,USP1,GINS3,ANP32E,BIRC5,UBR7,ASF1B,CDC20,DONSON,PCNA,RPA1,CTCF,DCTPP1,MKI67,BARD1,ZW10,TOP2A,CENPM,ILF3,KIF18B,RFC1,MCM2,SHMT1,ASF1A,UBE2S,ATAD2,SPC24,WEE1,NUP153,DDX39A,EIF2S1
HALLMARK_ALLOGRAFT_REJECTION%MSIGDBHALLMARK%HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION%MSIGDBHALLMARK%HALLMARK_ALLOGRAFT_REJECTION	Details	108	-0.524237826786914	-1.96940813930295	0.0016	0.0187157724653365	0	2505	LCK,EIF5A,THY1,IL27RA,TPD52,TAP2,EIF3A,EIF3D,MMP9,CD74,MTIF2,RIPK2,RPL9,RPS3A,HLA-DRA,ABCE1,BRCA1,DEGS1,HLA-A,MRPL3,SIT1,RPS9,IFNAR2,TRAF2,LYN,BCAT1,IL18,HLA-G,IFNGR2,RPL39,BCL10
HALLMARK_UNFOLDED_PROTEIN_RESPONSE%MSIGDBHALLMARK%HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE%MSIGDBHALLMARK%HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details	88	-0.542394286021427	-1.96945642819976	0.0015600624024961	0.0187157724653365	0	2306	DKC1,NOLC1,MTHFD2,EIF4A1,CKS1B,STC2,EXOSC5,PSAT1,PDIA5,ATF4,IARS,NOP56,SEC11A,GEMIN4,DDX10,EXOC2,EIF4EBP1,XBP1,RPS14,IMP3,ASNS,SKIV2L2,DCP2,EIF4E,SDAD1,CHAC1,EIF4A3,XPOT,HYOU1,NFYB,SLC7A5,NHP2,RRP9,EXOSC10,EXOSC1,ALDH18A1
HALLMARK_MTORC1_SIGNALING%MSIGDBHALLMARK%HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING%MSIGDBHALLMARK%HALLMARK_MTORC1_SIGNALING	Details	135	-0.506196615300655	-1.95723756813981	0.00170068027210884	0.0190410909046793	0	2602	NUP205,SLC2A3,MTHFD2,UNG,HPRT1,AURKA,EIF2S2,ELOVL6,CDC25A,EEF1E1,PSAT1,STC1,EGLN3,CTSC,PNO1,ETF1,PHGDH,SEC11A,CCT6A,RRM2,MAP2K3,SORD,M6PR,IMMT,PLK1,ATP5G1,USO1,PSMA4,SLC7A11,XBP1,GLA,ASNS,NUFIP1,TMEM97,HSPD1,PITPNB,NAMPT,RPA1,ELOVL5,PSMC6,HK2,SLC7A5,RRP9,NMT1,BCAT1,TOMM40,HSPA4,HMBS,MCM2,PSPH,SERP1,UCHL5,DDX39A,TES,CCNG1,ATP2A2,GCLC
HALLMARK_MYC_TARGETS_V1%MSIGDBHALLMARK%HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1%MSIGDBHALLMARK%HALLMARK_MYC_TARGETS_V1	Details	144	-0.78611977287175	-3.06172726820797	0.00174216027874564	0.0190410909046793	0	2188	GNL3,DDX21,NOP16,PABPC1,RSL1D1,PA2G4,NOLC1,EIF4A1,HPRT1,KPNA2,RAN,SET,PSMA2,RPL22,RPL14,SSBP1,EIF2S2,CNBP,PSMD1,SRSF7,FBL,EIF3B,C1QBP,CAD,CTPS1,CCNA2,AIMP2,ORC2,SNRPD3,SNRPD1,EIF3D,SMARCC1,IARS,ETF1,MCM6,DHX15,RANBP1,NOP56,TRA2B,DEK,MYC,HNRNPD,STARD7,PPM1G,U2AF1,MAD2L1,APEX1,RFC4,ABCE1,MCM5,RPLP0,RPS3,PSMD7,PSMA4,DUT,EEF1B2,RPL34,SNRPG,SNRPA1,HNRNPC,HNRNPA2B1,LSM2,EIF4H,RPS2,SNRPA,PHB2,CBX3,CCT4,RPS6,NDUFAB1,RPS10,CDC45,EIF4E,EIF1AX,MCM7,USP1,HSPD1,SNRPD2,GOT2,FAM120A,CDC20,CSTF2,PABPC4,UBA2,XPOT,PCNA,SSB,SRPK1,PCBP1,PSMC6,PTGES3,RRM1,PSMB2,RNPS1,HSP90AB1,ERH,NHP2,RPS5,RRP9,POLE3,TRIM28,RPL6
HALLMARK_MYC_TARGETS_V2%MSIGDBHALLMARK%HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2%MSIGDBHALLMARK%HALLMARK_MYC_TARGETS_V2	Details	45	-0.824081557923246	-2.64104854622263	0.00144927536231884	0.0187157724653365	0	2107	GNL3,NOP16,PA2G4,NOLC1,UNG,EXOSC5,AIMP2,NIP7,TCOF1,WDR43,PPRC1,UTP20,RABEPK,PRMT3,NOP56,TFB2M,MYC,SORD,PLK1,MCM5,LAS1L,IMP4,MRTO4,BYSL,CBX3,PLK4,NOP2,TMEM97,HSPD1,RCL1,GRWD1,DCTPP1,MPHOSPH10,HK2,MYBBP1A,RRP9
PID_FANCONI_PATHWAY%MSIGDB_C2%PID_FANCONI_PATHWAY	PID_FANCONI_PATHWAY%MSIGDB_C2%PID_FANCONI_PATHWAY	Details	40	-0.633457694108878	-1.98500967342239	0.00144300144300144	0.0187157724653365	0	3105	CHEK1,BLM,BRCA2,FANCD2,FANCB,BRIP1,PALB2,RFC2,RFC4,UBE2T,BRCA1,ATRIP,RFC3,FANCG,FANCA,USP1,RPA1,FANCL,XRCC3,TOPBP1,FANCE,FANCM,RMI1,RAD1,NBN,RAD50
PID_AURORA_B_PATHWAY%MSIGDB_C2%PID_AURORA_B_PATHWAY	PID_AURORA_B_PATHWAY%MSIGDB_C2%PID_AURORA_B_PATHWAY	Details	17	-0.833992324729296	-2.19039475230275	0.00128205128205128	0.0187157724653365	0	1899	AURKA,NCL,PPP1CC,NSUN2,CENPA,KIF20A,NCAPG,AURKB,CDCA8,SMC2,SMC4,BIRC5,INCENP,KIF23
PID_FOXM1_PATHWAY%MSIGDB_C2%PID_FOXM1_PATHWAY	PID_FOXM1_PATHWAY%MSIGDB_C2%PID_FOXM1_PATHWAY	Details	34	-0.574409352584813	-1.73762845163512	0.00283687943262411	0.025552265535171	0	2265	CHEK2,CKS1B,CCNE1,CCNA2,BRCA2,MYC,CENPA,AURKB,PLK1,CCNB1,CCNB2,BIRC5,FOXM1,CENPF
