NAME	description	GSdetails	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
HALLMARK_MYOGENESIS%MSIGDBHALLMARK%HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS%MSIGDBHALLMARK%HALLMARK_MYOGENESIS	Details	126	0.425251312053104	1.50669772166154	0.0043010752688172	0.0343976439969865	0	14756	MAPRE3,SIRT2,AK1,PLXNB2,EPHB3,KIFC3,MYH7,CRAT,MYL6B,CDKN1A,MYOM1,ACSL1,LPIN1,DMD,TSC2,PDE4DIP,PFKM,SGCD,DMPK,PICK1,GABARAPL2,PRNP,EFS,NCAM1,RB1,CLU,BIN1,CTF1,HBEGF,TCAP,GAA,ADCY9,PDLIM7,SPHK1,CACNG1,HDAC5,CHRNB1,SPEG,REEP1,AEBP1,PC,CNN3,SH2B1,SVIL,GADD45B,MYOM2,FHL1,PKIA,AGRN,HSPB8
CADHERIN SIGNALING PATHWAY%PANTHER PATHWAY%P00012	CADHERIN SIGNALING PATHWAY%PANTHER PATHWAY%P00012	Details	126	0.643506522678065	2.27999252233302	0.000716845878136201	0.0187157724653365	0	14793	PCDHGC3,PCDHGB4,PCDHGB6,PCDHGB1,PCDHGA2,PCDHGA7,PCDHGB7,PCDHGA12,PCDHGA3,PCDHGC5,PCDHGA5,PCDHGA8,PCDHGA11,PCDHGA10,PCDHGA1,PCDHGA6,PCDHGB2,PCDHB2,CTNND2,PCDHGC4,DCHS1,CDH10,PCDHA4,PCDHB15,PCDHA2,PCDHA10,PCDHA12,PCDHA6,PCDHA8,PCDHA7,PCDHA3,PCDHA5,PCDHA11,PCDHA13,CDH2,PCDHA1,CELSR2,PCDH19,PCDHA9,PCDHAC1,WNT5B,PCDHB5,PCDH9,CDH7,PCDHAC2,FZD1
WNT SIGNALING PATHWAY%PANTHER PATHWAY%P00057	WNT SIGNALING PATHWAY%PANTHER PATHWAY%P00057	Details	226	0.535048621719742	2.02893497722513	0.000668896321070234	0.0187157724653365	0	14793	PCDHGC3,PCDHGB4,PCDHGB6,PCDHGB1,PCDHGA2,PCDHGA7,PCDHGB7,PCDHGA12,PCDHGA3,PCDHGC5,PCDHGA5,PCDHGA8,PCDHGA11,PCDHGA10,PCDHGA1,PCDHGA6,PCDHGB2,PCDHB2,PCDHGC4,SMARCD3,DVL3,DCHS1,PPP2R5B,CDH10,PCDHA4,PCDHB15,PCDHA2,PCDHA10,GNB3,PCDHA12,PCDHA6,PCDHA8,PCDHA7,PCDHA3,PCDHA5,PCDHA11,PCDHA13,CDH2,PCDHA1,SRCAP,CELSR2,PCDH19,PCDHA9,CSNK1D,PCDHAC1,WNT5B,PCDHB5,PCDH9,CDH7,ANKRD6,PCDHAC2,FZD1,GNA11,PYGO1,SMARCC2,CDH20,GNB2,PPP3CC,CDH18,SMARCA2,PRKCG,CTNNA2,GNG3
MEMBRANE TRAFFICKING%REACTOME DATABASE ID RELEASE 65%199991	MEMBRANE TRAFFICKING%REACTOME DATABASE ID RELEASE 65%199991	Details	554	0.360715987492219	1.47181180168358	0.000591715976331361	0.0187157724653365	0	14787	DENND2A,AP1M1,DENND6B,MAN2A2,AGPAT3,GBF1,EXOC7,SYT11,RIN2,DENND5B,KIF3B,GABARAP,DCTN3,CNIH2,KIF26B,CUX1,DCTN1,USE1,RABGAP1,NAA38,SYT9,CYTH2,COG7,AP2A2,SNAP91,GOLGA2,SEC16A,CYTH3,STON2,AMPH,MVB12B,GDI1,EXOC3,KIF21A,RAB6B,RAB5B,SYS1,AKT1,RGP1,CSNK1D,ARFGAP3,COPZ1,RAB36,KIFAP3,VPS37D,SNAP29,TMEM115,TBC1D10B,TBC1D20,KLC4,GORASP1,SNAPIN,CHMP4B,CLTB,TBC1D13,SCARB2,KLC2,TRAPPC1,VPS28,CHMP6,COPG1,OCRL,TSC2,RAB5C,AKT2,STX5,ARFIP2,STX18,AKT3,TRAPPC3,SEC24C,CD59,VAMP2,GOLGA1,LRP2,GALNT2,RAB9B,OPTN,COPZ2,CHMP3,BICD2,TRAPPC9,GABARAPL2,RALGAPA2,KIF27,COG4,GNS,GGA1,DCTN2,DENND1A,RAB3IL1,HGS,BIN1,VPS53,HBEGF,NAPA,COPA,CLVS1,KIF3A,GOLGB1,COG1,ACTR10,WNT5A,KIFC2,AAK1,KIF9,RAB11B,ARF1,AP4M1,CHMP5,SBF1,RAB7A,TSC1,SGIP1,DTNBP1,NBAS,HPS4,SPTAN1,MAP1LC3B,SNF8,TRAPPC5,RAB3A,CYTH1,SYNJ1,SLC18A3,FOLR1,KIF1A,DAB2,DENND4A,F5,RABEP1,EGFR,LMAN2L,ARFRP1,COG6,TBC1D14,RALGAPB,RAB32,GAK,PIP5K1C,SEC13,LNPEP,VPS52,STX4,HIP1R,UBQLN2,DNAJC6,EXOC6,UBAP1,KIF19,EPN1,TRAPPC12,TMF1,RAB30,SAR1B,TBC1D17,KIF21B,KLC1,BLOC1S4,ARFGAP1,PPP6R1,PAFAH1B3,UBC,RAB3GAP2,PLA2G6,DNM3,TPD52L1,DNM1,CHRM2,RAB33A,ACTR1A,STAM2,DVL2
SIGNALING BY NTRK2 (TRKB)%REACTOME DATABASE ID RELEASE 65%9006115	SIGNALING BY NTRK2 (TRKB)%REACTOME DATABASE ID RELEASE 65%9006115	Details	19	0.661718022670609	1.63758237347596	0.00562700964630225	0.0419055356577527	0	14325	CDK5,DOCK3,NTRK2,HRAS,NTF4,FRS3,CDK5R1,PIK3R1,PLCG1,SRC,NTF3
COPI-MEDIATED ANTEROGRADE TRANSPORT%REACTOME DATABASE ID RELEASE 65%6807878	COPI-MEDIATED ANTEROGRADE TRANSPORT%REACTOME DATABASE ID RELEASE 65%6807878	Details	77	0.491113766396187	1.62371182166343	0.00220102714600147	0.0212585360347649	0	14693	GBF1,DCTN3,DCTN1,COG7,GOLGA2,ARFGAP3,COPZ1,TMEM115,GORASP1,COPG1,STX5,CD59,COPZ2,COG4,DCTN2,NAPA,COPA,GOLGB1,COG1,ACTR10,ARF1,SPTAN1,FOLR1
INTRA-GOLGI AND RETROGRADE GOLGI-TO-ER TRAFFIC%REACTOME DATABASE ID RELEASE 65%6811442	INTRA-GOLGI AND RETROGRADE GOLGI-TO-ER TRAFFIC%REACTOME DATABASE ID RELEASE 65%6811442	Details	174	0.430492957371635	1.58877434175281	0.000693481276005548	0.0187157724653365	0	14745	MAN2A2,AGPAT3,GBF1,KIF3B,DCTN3,KIF26B,CUX1,DCTN1,USE1,NAA38,CYTH2,COG7,CYTH3,KIF21A,RAB6B,SYS1,RGP1,ARFGAP3,COPZ1,RAB36,KIFAP3,SNAP29,KLC4,KLC2,COPG1,STX5,ARFIP2,STX18,GOLGA1,GALNT2,RAB9B,COPZ2,BICD2,KIF27,COG4,DCTN2,VPS53,NAPA,COPA,KIF3A,COG1,ACTR10,KIFC2,KIF9,ARF1
ABC TRANSPORTERS IN LIPID HOMEOSTASIS%REACTOME DATABASE ID RELEASE 65%1369062	ABC TRANSPORTERS IN LIPID HOMEOSTASIS%REACTOME DATABASE ID RELEASE 65%1369062	Details	16	0.709310831661893	1.68339765705254	0.0032626427406199	0.0277545679208831	0	14564	ABCA3,ABCG1,ABCA7,ABCA2,ABCD1,ABCG4,ABCD2
GLUTAMATE BINDING, ACTIVATION OF AMPA RECEPTORS AND SYNAPTIC PLASTICITY%REACTOME DATABASE ID RELEASE 65%399721	GLUTAMATE BINDING, ACTIVATION OF AMPA RECEPTORS AND SYNAPTIC PLASTICITY%REACTOME DATABASE ID RELEASE 65%399721	Details	26	0.605564080620461	1.62161596250685	0.0062402496099844	0.0453429248281042	0	14702	CACNG4,GRIA3,CAMK2A,DLG4,PRKCG,TSPAN7,PICK1,CAMK2D,EPB41L1,CACNG8,GRIA2,AP2A1,CAMK2B,GRIA1,MDM2,CACNG2,GRIP1,PRKCA,GRIP2
TRANSMISSION ACROSS CHEMICAL SYNAPSES%REACTOME DATABASE ID RELEASE 65%112315	TRANSMISSION ACROSS CHEMICAL SYNAPSES%REACTOME DATABASE ID RELEASE 65%112315	Details	206	0.403232261713296	1.51351446397978	0.00136892539356605	0.0187157724653365	0	14783	ABAT,PRKACA,CACNG4,NCALD,TSPOAP1,ADCY6,GNB3,ALDH2,GRIA3,DNAJC5,NBEA,GRIK5,CAMK2A,HRAS,GABRA3,PPM1F,GLRB,GNB2,DLG4,MAPK3,ARHGEF9,VAMP2,GIT1,KCNJ4,PRKCG,CAMK1,TSPAN7,GNG3,ALDH5A1,LIN7B,PICK1,CAMK2D,SNAP25,CASK,KCNJ2,GNG7,ADCY5,LRRC7,GRIN3B,APBA1,EPB41L1,ADCY9,CACNG8,ARL6IP5,PRKAR1A,CACNA2D3,PDPK1,RAB3A,MAPK1,PPFIA2,SLC18A3,GNG2,GRIK1,CACNB3,CHRNA4,STX1A,PLCB1,PRKAR2A,SLC1A6,RPS6KA2,GNB1,KCNJ3,GRIA2,SRC,GLUL,SLC1A2,RPS6KA3,GABRA2,RIMS1,AP2A1,GRIN3A,CPLX1,KCNJ9,PRKAG1,CAMK2B,CAMK4,CACNB1,PPM1E,GRIA1,SYT1,GLRA2,MDM2,CACNG2,MAOA,GNAI1,CHRNB2,GRIP1,SYN1,KCNJ5
