NAME	description	GSdetails	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	Details	64	-0.431914587722565	-1.62922200870892	0.00328947368421053	0.0428382288709325	0	2358	TRIM14,NMI,IFITM1,PLSCR1,HERC6,CD74,RIPK2,HLA-C,CASP8,IFITM2,BST2,EPSTI1,PROCR,PARP14,TRIM25,LY6E,TAP1,IFIH1,LAP3,PSME2,PNPT1
HALLMARK_ALLOGRAFT_REJECTION%MSIGDBHALLMARK%HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION%MSIGDBHALLMARK%HALLMARK_ALLOGRAFT_REJECTION	Details	108	-0.503724106540173	-2.05461297982258	0.00531914893617021	0.0470257716511837	0	2674	LCK,EIF5A,IL27RA,EIF3A,RPL9,THY1,RPS3A,TPD52,HLA-DRA,CD74,RIPK2,TAP2,EIF3D,MTIF2,ABCE1,DEGS1,MRPL3,HLA-A,BRCA1,MMP9,RPS9,RPL39,LYN,IFNAR2,HIF1A,TAP1,SIT1,IL18,IFNGR2,EIF3J,BCL10,HLA-G,PSMB10,BCAT1,STAT1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE%MSIGDBHALLMARK%HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE%MSIGDBHALLMARK%HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details	88	-0.504148731098986	-1.99162437107895	0.00442477876106195	0.044086248068549	0	2995	DKC1,STC2,MTHFD2,EIF4A1,NOLC1,PSAT1,IARS,CKS1B,SEC11A,PDIA5,EXOC2,DCP2,EIF4EBP1,EXOSC5,ATF4,GEMIN4,SKIV2L2,XBP1,DDX10,XPOT,RPS14,IMP3,NOP56,SDAD1,EIF4E,SERP1,EXOSC1,NFYB,ALDH18A1,SLC7A5,HYOU1,SHC1,RRP9,CHAC1,CEBPB,SSR1,EIF4A3,EIF4G1,NHP2,NFYA,EXOSC10,ASNS,LSM4
HALLMARK_MYC_TARGETS_V2%MSIGDBHALLMARK%HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2%MSIGDBHALLMARK%HALLMARK_MYC_TARGETS_V2	Details	45	-0.794981425126789	-2.79365353053692	0.00265957446808511	0.0423221988934333	0	2086	GNL3,AIMP2,NOP16,PA2G4,NOLC1,UNG,NIP7,TFB2M,WDR43,UTP20,PRMT3,PPRC1,MYC,PLK4,SORD,EXOSC5,LAS1L,TCOF1,RABEPK,PLK1,NOP56,MRTO4,RCL1,TMEM97,HK2,GRWD1,MCM5,CBX3,HSPD1,BYSL,IMP4,MYBBP1A
AEROBIC RESPIRATION I (CYTOCHROME C)%BIOCYC%PWY-3781	AEROBIC RESPIRATION I (CYTOCHROME C)%BIOCYC%PWY-3781	Details	61	-0.47483659107492	-1.77010420366221	0.003125	0.0424580627705628	0	3076	COX7C,SDHD,UQCRH,NDUFS5,NDUFV2,NDUFA4,NDUFAB1,UQCRC1,NDUFB9,COX5A,UQCRC2,CYC1,NDUFA12,SDHC,UQCRFS1,NDUFS4,NDUFA6,COX6C,NDUFS6,COX6B1,COX4I1
PID_FANCONI_PATHWAY%MSIGDB_C2%PID_FANCONI_PATHWAY	PID_FANCONI_PATHWAY%MSIGDB_C2%PID_FANCONI_PATHWAY	Details	40	-0.605924580435947	-2.07428430339416	0.00251256281407035	0.0423221988934333	0	2475	BLM,BRCA2,FANCB,CHEK1,BRIP1,FANCD2,BRCA1,RFC2,RFC4,RFC3,UBE2T,PALB2,RPA1,NBN,FANCL,FANCA,FANCM,USP1,RMI1,ATRIP,FANCG,TOPBP1
PID_AURORA_B_PATHWAY%MSIGDB_C2%PID_AURORA_B_PATHWAY	PID_AURORA_B_PATHWAY%MSIGDB_C2%PID_AURORA_B_PATHWAY	Details	17	-0.766590574103475	-2.10525549025504	0.00177304964539007	0.0423221988934333	0	1986	AURKA,PPP1CC,NCL,NSUN2,CENPA,NCAPG,KIF20A,KIF23,SMC4,CDCA8,SMC2,AURKB,BIRC5
PID_FOXM1_PATHWAY%MSIGDB_C2%PID_FOXM1_PATHWAY	PID_FOXM1_PATHWAY%MSIGDB_C2%PID_FOXM1_PATHWAY	Details	34	-0.521999716763078	-1.73274392460334	0.00435729847494553	0.044086248068549	0	2558	CHEK2,CKS1B,CCNE1,CCNA2,BRCA2,MYC,CENPA,CCNB1,PLK1,CCNB2,AURKB,SP1,BIRC5,CENPF,FOXM1,SKP2,MAP2K1
PID_MYC_ACTIV_PATHWAY%MSIGDB_C2%PID_MYC_ACTIV_PATHWAY	PID_MYC_ACTIV_PATHWAY%MSIGDB_C2%PID_MYC_ACTIV_PATHWAY	Details	61	-0.486125830640137	-1.81218842965942	0.003125	0.0424580627705628	0	2807	PMAIP1,HMGA1,EIF4A1,NME2,NCL,CAD,PDCD10,TERT,RPL11,MYC,CDCA7,CDC25A,RCC1,NDUFAF2,TAF4B,MMP9,CCNB1,E2F3,RUVBL1,EIF4E,LIN28B,NBN,FOSL1,HSPD1,SHMT1,BIRC5,TK1,SMAD4,ACTL6A,POLR3D,BCAT1,EIF4G1,PRDX3,PIM1
PID_ATR_PATHWAY%MSIGDB_C2%PID_ATR_PATHWAY	PID_ATR_PATHWAY%MSIGDB_C2%PID_ATR_PATHWAY	Details	33	-0.545145791239835	-1.79021910889506	0.00432900432900433	0.044086248068549	0	2637	CCNA2,BRCA2,CDC6,CHEK1,RAD51,FANCD2,CDC25A,RFC2,RFC4,RFC3,PLK1,RPA1,NBN,CLSPN,ATRIP,TOPBP1,MCM7,TIMELESS
PID_BARD1_PATHWAY%MSIGDB_C2%PID_BARD1_PATHWAY	PID_BARD1_PATHWAY%MSIGDB_C2%PID_BARD1_PATHWAY	Details	25	-0.69962120006134	-2.14127858499024	0.00193798449612403	0.0423221988934333	0	3099	XRCC5,CCNE1,RAD51,FANCD2,CSTF1,BRCA1,BARD1,PRKDC,NBN,FANCL,FANCA,PCNA,FANCG,TOPBP1,RBBP8,FANCE,UBE2D3,CDK2
PID_HIF2PATHWAY%MSIGDB_C2%PID_HIF2PATHWAY	PID_HIF2PATHWAY%MSIGDB_C2%PID_HIF2PATHWAY	Details	24	-0.638473150534387	-1.92138306107386	0.00393700787401575	0.0440177183529879	0	1799	POU5F1,EGLN3,FLT1,EIF3E,SIRT1,SLC11A2,ELOC,APEX1,ABCG2,FXN,SP1
PLK1 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PLK1 SIGNALING EVENTS	PLK1 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PLK1 SIGNALING EVENTS	Details	46	-0.507140727203794	-1.78441929909112	0.00266666666666667	0.0423221988934333	0	2435	ERCC6L,KIZ,AURKA,BORA,BUB1,FBXO5,NDC80,ECT2,CENPE,CENPU,SGO1,CDC25C,KIF20A,CDC14B,CCNB1,PLK1,RHOA,PAK1,TPX2,CLSPN,CDK1,CDC20,WEE1,INCENP,BUB1B
BARD1 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BARD1 SIGNALING EVENTS	BARD1 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BARD1 SIGNALING EVENTS	Details	28	-0.715743659320932	-2.25799077251582	0.00203252032520325	0.0423221988934333	0	3099	XRCC5,CCNE1,XRCC6,RAD51,FANCD2,CSTF1,BRCA1,TP53,MRE11,BARD1,PRKDC,NBN,FANCL,FANCA,PCNA,FANCG,TOPBP1,RBBP8,FANCE,UBE2D3,CDK2
AURORA B SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%AURORA B SIGNALING	AURORA B SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%AURORA B SIGNALING	Details	36	-0.701749347961634	-2.35080435698782	0.00235849056603774	0.0423221988934333	0	1567	NPM1,AURKA,PPP1CC,NCL,BUB1,NDC80,PSMA3,NSUN2,CENPA,NCAPG,SGO1,KIF20A,KIF23,NCAPD2,KIF2C,NCAPH,SMC4,RHOA,CDCA8,SMC2,AURKB
