NAME	description	GSdetails	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
HALLMARK_MYC_TARGETS_V2%MSIGDBHALLMARK%HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2%MSIGDBHALLMARK%HALLMARK_MYC_TARGETS_V2	Details	45	-0.794981425126789	-2.71774586497109	0.00257731958762887	0.0468354811513911	0	2086	GNL3,AIMP2,NOP16,PA2G4,NOLC1,UNG,NIP7,TFB2M,WDR43,UTP20,PRMT3,PPRC1,MYC,PLK4,SORD,EXOSC5,LAS1L,TCOF1,RABEPK,PLK1,NOP56,MRTO4,RCL1,TMEM97,HK2,GRWD1,MCM5,CBX3,HSPD1,BYSL,IMP4,MYBBP1A
PID_FANCONI_PATHWAY%MSIGDB_C2%PID_FANCONI_PATHWAY	PID_FANCONI_PATHWAY%MSIGDB_C2%PID_FANCONI_PATHWAY	Details	40	-0.605924580435947	-2.01360176009967	0.00239808153477218	0.0468354811513911	0	2475	BLM,BRCA2,FANCB,CHEK1,BRIP1,FANCD2,BRCA1,RFC2,RFC4,RFC3,UBE2T,PALB2,RPA1,NBN,FANCL,FANCA,FANCM,USP1,RMI1,ATRIP,FANCG,TOPBP1
PID_AURORA_B_PATHWAY%MSIGDB_C2%PID_AURORA_B_PATHWAY	PID_AURORA_B_PATHWAY%MSIGDB_C2%PID_AURORA_B_PATHWAY	Details	17	-0.766590574103475	-2.11124234846851	0.0017921146953405	0.0468354811513911	0	1986	AURKA,PPP1CC,NCL,NSUN2,CENPA,NCAPG,KIF20A,KIF23,SMC4,CDCA8,SMC2,AURKB,BIRC5
PID_BARD1_PATHWAY%MSIGDB_C2%PID_BARD1_PATHWAY	PID_BARD1_PATHWAY%MSIGDB_C2%PID_BARD1_PATHWAY	Details	25	-0.69962120006134	-2.09996884896596	0.00196850393700787	0.0468354811513911	0	3099	XRCC5,CCNE1,RAD51,FANCD2,CSTF1,BRCA1,BARD1,PRKDC,NBN,FANCL,FANCA,PCNA,FANCG,TOPBP1,RBBP8,FANCE,UBE2D3,CDK2
BARD1 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BARD1 SIGNALING EVENTS	BARD1 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BARD1 SIGNALING EVENTS	Details	28	-0.715743659320932	-2.195172778335	0.00213675213675214	0.0468354811513911	0	3099	XRCC5,CCNE1,XRCC6,RAD51,FANCD2,CSTF1,BRCA1,TP53,MRE11,BARD1,PRKDC,NBN,FANCL,FANCA,PCNA,FANCG,TOPBP1,RBBP8,FANCE,UBE2D3,CDK2
AURORA B SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%AURORA B SIGNALING	AURORA B SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%AURORA B SIGNALING	Details	36	-0.701749347961634	-2.30649304181764	0.00232018561484919	0.0468354811513911	0	1567	NPM1,AURKA,PPP1CC,NCL,BUB1,NDC80,PSMA3,NSUN2,CENPA,NCAPG,SGO1,KIF20A,KIF23,NCAPD2,KIF2C,NCAPH,SMC4,RHOA,CDCA8,SMC2,AURKB
HIF-2-ALPHA TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%HIF-2-ALPHA TRANSCRIPTION FACTOR NETWORK	HIF-2-ALPHA TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%HIF-2-ALPHA TRANSCRIPTION FACTOR NETWORK	Details	32	-0.59694025663437	-1.87753216026221	0.0023094688221709	0.0468354811513911	0	1799	POU5F1,EGLN3,FLT1,EIF3E,PGK1,SIRT1,SLC11A2,ELOC,APEX1,ABCG2,FXN,ETS1,SP1
FANCONI ANEMIA PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FANCONI ANEMIA PATHWAY	FANCONI ANEMIA PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FANCONI ANEMIA PATHWAY	Details	46	-0.583619183719458	-2.00602735604592	0.00260416666666667	0.0468354811513911	0	2893	BLM,BRCA2,FANCB,CHEK1,BRIP1,RPA2,FANCD2,BRCA1,RFC2,MRE11,RFC4,RFC3,FANCI,UBE2T,PALB2,RPA1,NBN,FANCL,FANCA,FANCM,USP1,RMI1,ATRIP,FANCG,TOPBP1,RFC5,XRCC3,FANCE
DNA REPLICATION%PANTHER PATHWAY%P00017	DNA REPLICATION%PANTHER PATHWAY%P00017	Details	15	-0.781081250825566	-2.10260680059407	0.00171821305841924	0.0468354811513911	0	2083	DNA2,PRIM1,RPA2,POLA1,RFC2,RFC4,RFC3,RFC1,PCNA,TOP2A
WARBURG EFFECT%PATHWHIZ%PW000630	WARBURG EFFECT%PATHWHIZ%PW000630	Details	43	-0.677398103354379	-2.29955853268269	0.00245700245700246	0.0468354811513911	0	2172	SLC16A1,LDHA,GLS2,TKT,SLC1A5,SDHD,TALDO1,IDH1,DHTKD1,DLST,MDH1,PGK1,PKLR,ENO1,GAPDH,GLUD1,SUCLG2,PDHB,HK2,ACO1,DLAT,FH,SDHC
