NAME	description	GSdetails	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
HALLMARK_MYOGENESIS%MSIGDBHALLMARK%HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS%MSIGDBHALLMARK%HALLMARK_MYOGENESIS	Details	126	0.480177419937332	1.5562470932013	0.000538793103448276	0.032426516572858	0	14766	MAPRE3,SIRT2,EPHB3,KIFC3,AK1,PLXNB2,MYH7,PDE4DIP,BIN1,NCAM1,LPIN1,MYOM1,TCAP,DMPK,ACSL1,MYL6B,TSC2,PICK1,GABARAPL2,REEP1,CDKN1A,SGCD,FHL1,CRAT,GAA,ACHE,HDAC5,SH2B1,PKIA,ADCY9,PFKM,CLU,EFS,HBEGF,SPEG,DMD,MEF2C,MEF2D,PRNP,CACNG1,SVIL,MYOM2,GNAO1,RB1,CTF1
CADHERIN SIGNALING PATHWAY%PANTHER PATHWAY%P00012	CADHERIN SIGNALING PATHWAY%PANTHER PATHWAY%P00012	Details	126	0.677720287406626	2.19648026643518	0.000538793103448276	0.032426516572858	0	14791	PCDHGC3,PCDHGB4,PCDHGB6,PCDHGA2,PCDHGB1,PCDHGA7,PCDHGC5,PCDHGA12,PCDHGA3,PCDHGB7,PCDHGA8,PCDHGA5,PCDHGA10,PCDHGA1,PCDHGA11,PCDHGB2,PCDHGA6,PCDHGC4,CTNND2,PCDHB2,DCHS1,CDH10,PCDHB15,PCDHA4,PCDHA2,CELSR2,PCDH19,PCDHA12,PCDHA10,PCDHA6,PCDHA7,PCDHA8,PCDHA3,PCDHA5,PCDHA11,PCDH9,PCDHA13,CDH18,PCDHA1,PCDHAC1,PCDHA9,PCDHAC2,PCDHB5,CDH24,WNT5B,CDH7,CDH2
METABOTROPIC GLUTAMATE RECEPTOR GROUP III PATHWAY%PANTHER PATHWAY%P00039	METABOTROPIC GLUTAMATE RECEPTOR GROUP III PATHWAY%PANTHER PATHWAY%P00039	Details	60	0.540361845974062	1.61002991764799	0.0029708853238265	0.048516662689891	0	14738	PRKACA,GNB3,GRIK5,GNG3,VAMP2,SNAP25,GNB2,GRIA3,SLC1A6,STX1A,SNAP29,CACNB1,STX1B,GRIN3A,GRIA2,GRIA1,CACNA1E,SLC1A2,GNB1,PRKAR2A,CACNA1A,PRKAR1B,GRM8,GNG7,PRKACB,GRIK3,GRM5,PRKAR1A,GRM7,GRIA4,GRIN1,GRIK2,GNAI1,GRIK1,GNB5,VTI1A
WNT SIGNALING PATHWAY%PANTHER PATHWAY%P00057	WNT SIGNALING PATHWAY%PANTHER PATHWAY%P00057	Details	226	0.572751359395462	1.9428824845033	0.000516262261228704	0.032426516572858	0	14791	PCDHGC3,PCDHGB4,PCDHGB6,PCDHGA2,PCDHGB1,PCDHGA7,PCDHGC5,PCDHGA12,PCDHGA3,PCDHGB7,PCDHGA8,PCDHGA5,PCDHGA10,PCDHGA1,PCDHGA11,PCDHGB2,PCDHGA6,PCDHGC4,SMARCD3,PCDHB2,DVL3,DCHS1,PPP2R5B,CDH10,PCDHB15,PCDHA4,GNB3,PCDHA2,CELSR2,SRCAP,PCDH19,PCDHA12,PCDHA10,GNG3,SMARCC2,PCDHA6,PCDHA7,PCDHA8,PCDHA3,PCDHA5,PCDHA11,PCDH9,PCDHA13,CDH18,GNB2,PCDHA1,PCDHAC1,CTNNA2,PCDHA9,CSNK1D,GNA11,PCDHAC2,PCDHB5,CDH24,WNT5B,CDH7,CREBBP,ANKRD6,CDH2,GNG2,ARID1A,PRKCE,FZD1,CDH20,PYGO1,PPP3CC,CDH4,PCDHB14,PCDHB10
MEMBRANE TRAFFICKING%REACTOME DATABASE ID RELEASE 65%199991	MEMBRANE TRAFFICKING%REACTOME DATABASE ID RELEASE 65%199991	Details	554	0.41692042297772	1.46634291403821	0.000501504513540622	0.032426516572858	0	14789	DENND2A,AP1M1,DENND6B,MAN2A2,AGPAT3,SYT11,EXOC7,GBF1,CNIH2,DCTN3,KIF3B,RIN2,DENND5B,SNAP91,GABARAP,RAB6B,MVB12B,KIF26B,GDI1,AMPH,USE1,DCTN1,CYTH3,VPS37D,KLC4,CLTB,KIFAP3,CUX1,SYT9,AP2A2,KLC2,KIF21A,SEC16A,RGP1,VAMP2,TBC1D10B,NAA38,RAB9B,GORASP1,TBC1D13,CYTH2,GOLGA2,BIN1,CSNK1D,COG7,RABGAP1,SEC24C,TBC1D20,OPTN,VPS28,TMEM115,TRAPPC1,CHMP4B,AAK1,RAB36,RAB5B,TSC2,SYS1,CLVS1,AKT1,STON2,BICD2,RAB5C,RALGAPA2,HIP1R,ARFGAP3,CYTH1,EXOC3,SCARB2,GABARAPL2,SGIP1,SNAP29,TRAPPC3,RAB3A,CHMP6,SYNJ1,VPS53,AKT2,KIF21B,DENND1A,TSC1,DNAJC6,AKT3,SPTAN1,KIF3A,SNAPIN,RAB33A,MAP1LC3B,KLC1,DTNBP1,ARFIP2,CHMP3,HGS,COPZ1,UBQLN2,RAB11B,GRIA1,KIF1A,COPZ2,NAPA,DNM1,KIF5C,KIF5A,PIP5K1C,COG4,PAFAH1B3,TBC1D24,GGA1,OCRL,GOLGA1,SLC18A3,COG1,ACTR10,CD59,SYT1,DNM3,HBEGF,ARFRP1,UBAP1,TBC1D14,LRP2,SBF1,KIF3C,RABEP1,KIFC2,TBC1D25,CLVS2,MON1A,RAB30,PPP6R1,SPTBN4,SPTBN2,STX18,GCC1,UBC,GALNT2,COL7A1,NAPB,COPG1,AP4M1,BLOC1S4,CALM1,MYO5A,GNS,CHMP7,ACTR1A,RAB7A,ANK2,NSF,RAB3IL1,ARF1,GRK2,PAFAH1B1,TRAPPC9,GAK,KIF9,CHMP5,TRAPPC5,STX5,VPS4A,EPN1,KIF1B,KIF27,SEC13,WNT5A,TRAPPC12,DCTN2,STAM2,FNBP1,DYNC1I2,GOLGB1,TBC1D17,RALGAPB,MON1B,DENND4B,APP,VPS37B,F5,FCHO1,GGA3,DCTN4,NECAP1,DAB2,FOLR1,COG3,PRKAB1,TBC1D2,AP1G2,DENND4A,ANK3,GJD2,COPA,NBAS,ARFGAP1,CHRM2,HPS4,DYNC1H1,EGFR,LMAN2L,AP4B1,BLOC1S3,VTI1A,DCTN5,YKT6
ACTIVATION OF NMDA RECEPTORS AND POSTSYNAPTIC EVENTS%REACTOME%R-HSA-442755.9	ACTIVATION OF NMDA RECEPTORS AND POSTSYNAPTIC EVENTS%REACTOME%R-HSA-442755.9	Details	65	0.552794895056206	1.66420323792336	0.00117233294255569	0.0468354811513911	0	14738	PRKACA,CAMK2A,HRAS,DLG4,APBA1,GIT1,GRIA3,PDPK1,SRC,CASK,PPM1F,LRRC7,LIN7B,CAMK2B,CAMK1,NBEA,GRIN3A,GRIA2,GRIA1,RPS6KA2,MAPK3,PRKAR2A,CALM1,PRKAR1B,PPM1E,CAMK2D,PRKACB,NRG1,PRKAR1A,GRIA4,GRIN1,PRKAB1,MAPK1,PRKAG1,DLG2,CAMK4,PRKAR2B
SIGNALING BY NTRK2 (TRKB)%REACTOME DATABASE ID RELEASE 65%9006115	SIGNALING BY NTRK2 (TRKB)%REACTOME DATABASE ID RELEASE 65%9006115	Details	19	0.675214770956902	1.65485402295773	0.00278745644599303	0.046846060021985	0	14182	HRAS,FRS3,CDK5,DOCK3,SRC,NTRK2,CDK5R1,PLCG1,PIK3R1
GABA SYNTHESIS, RELEASE, REUPTAKE AND DEGRADATION%REACTOME%R-HSA-888590.3	GABA SYNTHESIS, RELEASE, REUPTAKE AND DEGRADATION%REACTOME%R-HSA-888590.3	Details	17	0.704592964440877	1.69279135397204	0.00277008310249307	0.0468354811513911	0	14787	ABAT,DNAJC5,VAMP2,SNAP25,RIMS1,STX1A,RAB3A,ALDH5A1,SYT1,CPLX1,SLC32A1,GAD1,GAD2
INTRA-GOLGI AND RETROGRADE GOLGI-TO-ER TRAFFIC%REACTOME DATABASE ID RELEASE 65%6811442	INTRA-GOLGI AND RETROGRADE GOLGI-TO-ER TRAFFIC%REACTOME DATABASE ID RELEASE 65%6811442	Details	174	0.470615084133396	1.57104191674798	0.000524109014675052	0.032426516572858	0	14739	MAN2A2,AGPAT3,GBF1,DCTN3,KIF3B,RAB6B,KIF26B,USE1,DCTN1,CYTH3,KLC4,KIFAP3,CUX1,KLC2,KIF21A,RGP1,NAA38,RAB9B,CYTH2,COG7,RAB36,SYS1,BICD2,ARFGAP3,CYTH1,SNAP29,VPS53,KIF21B,KIF3A,KLC1,ARFIP2,COPZ1,KIF1A,COPZ2,NAPA,KIF5C,KIF5A,COG4,PAFAH1B3,GOLGA1,COG1,ACTR10,ARFRP1,KIF3C,KIFC2,RAB30,STX18,GCC1,GALNT2,NAPB,COPG1,ACTR1A,NSF,ARF1,PAFAH1B1,KIF9,STX5,KIF1B,KIF27,DCTN2
EPHRIN SIGNALING%REACTOME%R-HSA-3928664.4	EPHRIN SIGNALING%REACTOME%R-HSA-3928664.4	Details	18	0.697505494433975	1.69222761292282	0.00277008310249307	0.0468354811513911	0	14671	EFNB3,EPHB3,PAK3,EFNB2,GIT1,EFNB1,EPHB2,FYN,EPHB1,NCK2,ARHGEF7
