NAME	description	GSdetails	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
HALLMARK_G2M_CHECKPOINT%MSIGDBHALLMARK%HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT%MSIGDBHALLMARK%HALLMARK_G2M_CHECKPOINT	Details	134	-0.551507871231056	-2.12969297163058	0.00186219739292365	0.0265089137172439	0	3249	HMGA1,DKC1,NOLC1,MYC,AURKA,NCL,PRIM2,CKS1B,CKS2,KPNA2,DBF4,KIF20B,FOXN3,TTK,CHEK1,SNRPD1,CDC6,CDC25A,STIL,NASP,UCK2,HMMR,PTTG1,CCNA2,BRCA2,CUL4A,SMARCC1,FBXO5,SUV39H1,MAD2L1,WRN,MT2A,ORC6,PLK4,SLC38A1,SLC7A5,HMGB3,TRA2B,KATNA1,CENPA,TRAIP,PLK1,NUP50,CHAF1A,MCM5,POLA2,MCM6,HNRNPD,NUP98,SMC2,HIF1A,CDKN3,SS18,CCNB2,SRSF10,AURKB,MYBL2,CDC20,MNAT1,TACC3,KIF11,CENPE,LIG3,YTHDC1,UBE2S,TGFB1,BIRC5,E2F3,KIF23,DDX39A,BARD1
HALLMARK_COMPLEMENT%MSIGDBHALLMARK%HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT%MSIGDBHALLMARK%HALLMARK_COMPLEMENT	Details	103	-0.424760444750589	-1.57717030706392	0.00345423143350604	0.0348084509463097	0	2250	LCK,CR2,APOC1,SH2B3,PFN1,CTSC,PLA2G7,PLSCR1,PIK3R5,DOCK9,LYN,CD55,CASP10,S100A13,GPD2,APOBEC3G,GCA,LAP3,MMP14,DUSP5,RNF4
HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	Details	155	-0.62374408683895	-2.45285549372956	0.00186567164179104	0.0265089137172439	0	3330	LYAR,CHEK2,HMGA1,NUP205,MTHFD2,NOLC1,CCNE1,MSH2,MYC,PHF5A,RPA3,PA2G4,UNG,AURKA,ORC2,RAN,PSIP1,PRIM2,DSCC1,CKS1B,SMC6,CKS2,KPNA2,GINS1,NOP56,HELLS,CHEK1,NUP107,DLGAP5,PAICS,TRIP13,CDC25A,RBBP7,CTPS1,NASP,RAD51AP1,DEPDC1,RANBP1,HMMR,PTTG1,BRCA2,SNRPB,POP7,DEK,SUV39H1,DUT,MAD2L1,RFC2,EXOSC8,AK2,ORC6,MMS22L,PLK4,RFC3,NUDT21,HMGB3,TRA2B,SPAG5,PLK1,GINS4,RNASEH2A,SHMT1,TK1,MCM5,POLA2,ZW10,SPC25,MCM6,HNRNPD,WEE1,RPA1,EIF2S1,PRKDC,CDKN3,RRM2,SLBP,E2F8,CCNB2,AURKB,MYBL2,NUP153,RAD50,CDCA8,CDC20,TACC3,CENPE,NBN,UBE2S,RAD1,ASF1A,BRCA1,BIRC5,POLD3,UBE2T,CIT,DDX39A,BARD1,RFC1,HMGB2,CDCA3,CDK4
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	Details	64	-0.460611485009651	-1.58802109322372	0.00586510263929619	0.0466680790487978	0	3043	TRIM14,NMI,IFITM1,PLSCR1,CD74,RIPK2,CASP8,BST2,EPSTI1,PROCR,IFITM2,IFIH1,HERC6,HLA-C,PARP14,TRIM25,LAP3,PNPT1,IFI30,ADAR,LY6E,EIF2AK2,BATF2,TRIM21,TAP1,IFITM3
HALLMARK_ALLOGRAFT_REJECTION%MSIGDBHALLMARK%HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION%MSIGDBHALLMARK%HALLMARK_ALLOGRAFT_REJECTION	Details	108	-0.51850954575348	-1.93541040206465	0.00171526586620926	0.0265089137172439	0	2540	LCK,EIF5A,THY1,TPD52,MMP9,IL27RA,MTIF2,CD74,RIPK2,TAP2,EIF3A,ABCE1,EIF3D,LYN,MRPL3,DEGS1,HLA-A,SIT1,HLA-DRA,BCAT1,RPL9,IL18,RPS3A,HLA-G,STAT1,PSMB10,RPS9,INHBA,HIF1A,BCL10
HALLMARK_UNFOLDED_PROTEIN_RESPONSE%MSIGDBHALLMARK%HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE%MSIGDBHALLMARK%HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details	88	-0.534685246550746	-1.95597874349021	0.00163398692810458	0.0265089137172439	0	2565	DKC1,MTHFD2,NOLC1,EIF4A1,IMP3,IARS,CKS1B,EXOSC5,PSAT1,STC2,DDX10,NOP56,SEC11A,GEMIN4,EXOC2,PDIA5,DCP2,EIF4E,RRP9,SDAD1,EIF4EBP1,XBP1,SKIV2L2,XPOT,EXOSC1,ATF4,CHAC1,SLC7A5,ASNS,HYOU1,EIF4A3,EIF4G1,NFYB,SERP1,EIF2S1,RPS14,NHP2,ALDH18A1
HALLMARK_MTORC1_SIGNALING%MSIGDBHALLMARK%HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING%MSIGDBHALLMARK%HALLMARK_MTORC1_SIGNALING	Details	135	-0.461999311934583	-1.78568505628302	0.0018450184501845	0.0265089137172439	0	2436	SLC2A3,CTSC,NUP205,MTHFD2,HPRT1,EIF2S2,EEF1E1,PNO1,ETF1,UNG,AURKA,ATP5G1,EGLN3,USO1,PSAT1,SEC11A,MAP2K3,PHGDH,TES,CCT6A,STC1,NMT1,CDC25A,ELOVL6,NAMPT,HSPD1,RRP9,SLC7A11,XBP1,PSMA4,GCLC,PSPH,NUFIP1,M6PR,HSPA4,IMMT,GLA,SORD,BCAT1,TOMM40,SLC7A5,ASNS,HMBS,PSMD12,PLK1,PITPNB,SERP1,CCNG1,ELOVL5,RPA1,IFI30
HALLMARK_ESTROGEN_RESPONSE_LATE%MSIGDBHALLMARK%HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE%MSIGDBHALLMARK%HALLMARK_ESTROGEN_RESPONSE_LATE	Details	140	-0.375455119845693	-1.45672470046817	0.00561797752808989	0.0456860918670315	0	2365	SCNN1A,GAL,OVOL2,ST14,SLC29A1,HPRT1,FABP5,PAPSS2,LLGL2,CXCL12,KRT19,FKBP5,MICB,IMPA2,CD44,ASS1,CDC6,ANXA9,STIL,UGDH,XBP1,METTL3,PERP,GLA,SORD,MAPK13,KIF20A,KLK10,PLK4,SLC7A5,SFN,RAB31,ALDH3A2,PDZK1,RNASEH2A,PPIF,KLF4,TFAP2C,ELOVL5
HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDBHALLMARK%HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDBHALLMARK%HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details	147	-0.491743839796875	-1.92269987676596	0.00183823529411765	0.0265089137172439	0	3399	COX7C,MRPL15,SLC25A5,NQO2,SDHD,UQCRH,MRPS15,ABCB7,ATP5G1,NDUFAB1,MRPL11,ATP5H,LDHB,NDUFA4,GOT2,HCCS,UQCRFS1,TIMM10,TIMM50,FXN,GRPEL1,DLAT,CPT1A,CYCS,NDUFV2,LRPPRC,IMMT,NDUFS6,SDHB,COX10,AIFM1,PHB2,CYC1,MRPL35,MRPS12,PDHX,NDUFA9,TIMM9,MRPL34,PHYH,UQCRC1,MTRR,SDHC,COX7B,COX17,OXA1L,TIMM13,MRPS30,MDH2,DLD,GLUD1,MRPS22,POLR2F,NDUFB4,PRDX3,COX7A2,NDUFB6,NDUFA6,COX4I1,FH,ACADSB,IDH3B,MTX2,NDUFS4,ATP6V0E1,PMPCA,TOMM70,OPA1,PDHA1,COX6B1
HALLMARK_MYC_TARGETS_V1%MSIGDBHALLMARK%HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1%MSIGDBHALLMARK%HALLMARK_MYC_TARGETS_V1	Details	144	-0.751805510458258	-2.92418888979968	0.00187265917602996	0.0265089137172439	0	2544	DDX21,GNL3,NOP16,PABPC1,PSMA2,HPRT1,C1QBP,NOLC1,EIF2S2,EIF3B,RSL1D1,PSMD1,MYC,SSBP1,AIMP2,SET,PA2G4,EIF4A1,CAD,ETF1,ORC2,RAN,CNBP,RPL14,NDUFAB1,SNRPD3,IARS,PPM1G,KPNA2,NOP56,STARD7,ABCE1,RPL22,SRSF7,EIF3D,SNRPG,FBL,DHX15,PABPC4,GOT2,SNRPD1,EEF1B2,EIF4E,SNRPA1,CCT4,PSMD7,CTPS1,HSPD1,RRP9,FAM120A,SSB,PSMA4,RANBP1,XPOT,CCNA2,U2AF1,RPLP0,SMARCC1,TUFM,CCT7,DEK,HNRNPC,RPS2,PCBP1,DUT,MAD2L1,PTGES3,PHB2,EIF4H,CYC1,EIF1AX,SRPK1,SNRPD2,APEX1,RFC4,RPS10,RPS3,TRA2B,CSTF2,HSP90AB1,MRPL23,LSM2,RPS6,MCM5,PWP1,MCM6,HNRNPD,CBX3,RPL34,EIF2S1,RPS5,NHP2,UBA2,SNRPA
