NAME	description	GSdetails	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
PID_RXR_VDR_PATHWAY%MSIGDB_C2%PID_RXR_VDR_PATHWAY	PID_RXR_VDR_PATHWAY%MSIGDB_C2%PID_RXR_VDR_PATHWAY	Details	19	0.694268953407494	1.7373320087725	0.00410172272354389	0.0385557065884935	0	14710	RXRB,RARA,NCOA1,THRA,FAM120B,BCL2,RARB,RXRG,RXRA
CADHERIN SIGNALING PATHWAY%PANTHER PATHWAY%P00012	CADHERIN SIGNALING PATHWAY%PANTHER PATHWAY%P00012	Details	126	0.647846587302089	2.27100181831426	0.000688231245698555	0.0265089137172439	0	14793	PCDHGC3,PCDHGB4,PCDHGB1,PCDHGA2,PCDHGB6,CTNND2,PCDHGA7,PCDHGB7,PCDHGA3,PCDHGC5,PCDHGA12,PCDHGA8,PCDHGA5,PCDHGA11,PCDHGA1,PCDHGA10,PCDHGB2,PCDHGA6,PCDHB2,PCDHGC4,PCDHB15,DCHS1,CDH10,PCDHA4,CELSR2,PCDHB5,PCDHA2,WNT5B,PCDHA10,PCDHA12,PCDHA3,PCDHA8,PCDHA6,CDH2,PCDHA7,PCDHA5,PCDHA11,PCDHA13,PCDH19,PCDHA1,PCDHA9,PCDHAC1,CDH4,PCDHAC2,FER,CDH18,CDH7,PCDH9,PCDHB10,CDH23,WNT2B,FZD1,PCDHB14,CDH24
WNT SIGNALING PATHWAY%PANTHER PATHWAY%P00057	WNT SIGNALING PATHWAY%PANTHER PATHWAY%P00057	Details	226	0.57011014753017	2.13089355380998	0.000644329896907216	0.0265089137172439	0	14793	PCDHGC3,PCDHGB4,PCDHGB1,PCDHGA2,PCDHGB6,PCDHGA7,PCDHGB7,PCDHGA3,PCDHGC5,PCDHGA12,PCDHGA8,PCDHGA5,PCDHGA11,PCDHGA1,PCDHGA10,PCDHGB2,PCDHGA6,PCDHB2,PCDHGC4,SMARCD3,DVL3,PCDHB15,DCHS1,CDH10,PPP2R5B,PCDHA4,CELSR2,PCDHB5,PCDHA2,GNB3,WNT5B,SMARCC2,ANKRD6,PCDHA10,PCDHA12,PCDHA3,PCDHA8,PCDHA6,CDH2,PCDHA7,PCDHA5,PCDHA11,PCDHA13,PCDH19,PCDHA1,PCDHA9,SRCAP,PPP3CC,PCDHAC1,GNA11,CDH4,PCDHAC2,CTNNA2,GNG3,CDH18,CDH7,CSNK1D,PYGO1,PCDH9,PCDHB10,CDH23,WNT2B,GNB2,FZD1,PCDHB14,CDH24,GNG2,SMARCA2,CDH20,CREBBP,WNT7A,PCDHB13,ARID1A,GNB1,GNG7,EP400,PRKCG,CDH12,LEF1,WNT7B,FZD10,WNT5A,PCDHB6,FZD3,TLE3,WNT4,PRKCE,SMARCA4,WNT3A,WNT9A,KREMEN1,PCDH15,WNT8B
MEMBRANE TRAFFICKING%REACTOME DATABASE ID RELEASE 65%199991	MEMBRANE TRAFFICKING%REACTOME DATABASE ID RELEASE 65%199991	Details	554	0.349002260994725	1.39985468546174	0.000568504832291074	0.0265089137172439	0	14786	DENND2A,AP1M1,DENND6B,MAN2A2,AGPAT3,SYT11,GBF1,CUX1,DENND5B,EXOC7,RIN2,DCTN3,CNIH2,KIF3B,GABARAP,RABGAP1,SEC16A,CYTH2,GDI1,MVB12B,KIF26B,SNAP91,RAB6B,AMPH,TBC1D20,USE1,DCTN1,AKT1,AKT3,CYTH3,CHMP3,VPS37D,KIF21A,VAMP2,AP2A2,GOLGA2,SNAPIN,NAA38,TBC1D10B,KIFAP3,VPS28,RGP1,RAB5B,KLC4,STON2,EXOC3,ARFGAP3,SYT9,SCARB2,COPZ1,COG7,BICD2,DCTN2,GABARAPL2,TSC2,BIN1,RAB36,GOLGA1,KLC2,CHMP4B,CSNK1D,STX5,SNAP29,RAB9B,CHMP6,CLTB,GORASP1,OPTN,KIF27,RAB3A,AKT2,SGIP1,KIFC2,CYTH1,TBC1D13,TRAPPC1,ACTR1A,OCRL,KIF3A,AAK1,COG1,LRP2,SBF1,STX18,VPS53,GOLGB1,GALNT2,HIP1R,RAB11B,ARF1,AP4M1,KIF1B,SYNJ1,SYT1,ARFIP2,SEC24C,DNM1,COG4,CLVS1,KLC1,RAB5C,UBQLN2,SYS1,WNT5A,KIF1A,TMEM115,ACTR10,GGA1,NBAS,RALGAPA2,DNAJC6,RAB33A,KIF21B,DENND1A,SPTAN1,TRAPPC9,TBC1D14,HGS,NAPA,DENND4A,GRIA1,HPS4,COPA,TSC1,ARFGAP1,RABEP1,MAP1LC3B,LNPEP,VPS37B,UBC,DNM3,COPG1,VPS52,DYNC1H1,KIF5C,EXOC6,COPZ2,ANK2,SYT2,PIP5K1C,DYNC1I2,EXOC4,CLVS2,HBEGF,TRAPPC3,KIF19,PAFAH1B1,SEC22C,DCTN4,DVL2,RALGAPB,PAFAH1B3,DENND1B,RAB7A,PLA2G6,VPS4A,CD59,KIF5A,SLC18A3,NAPB,RAB30,CHMP5,GNS,KIF9,TMF1,FOLR1,MON1B,TBC1D24,ARFRP1,TRAPPC12,STAM2,MYO5A,FCHO1,DTNBP1,CHRM2,BLOC1S6
ACTIVATION OF NMDA RECEPTORS AND POSTSYNAPTIC EVENTS%REACTOME%R-HSA-442755.9	ACTIVATION OF NMDA RECEPTORS AND POSTSYNAPTIC EVENTS%REACTOME%R-HSA-442755.9	Details	65	0.535844127890056	1.70821919862566	0.00225056264066016	0.0296277419111262	0	14687	PRKACA,GRIA3,CAMK2A,NBEA,DLG4,MAPK3,HRAS,LIN7B,CAMK4,APBA1,GIT1,LRRC7,CAMK1,RPS6KA2,PDPK1,CASK,GRIA2,GRIA1,SRC,PPM1E,CAMK2B,NRG1,GRIN3A,MAPK1,CAMK2D,PPM1F,GRIN3B,PRKAR1A
LOSS OF PROTEINS REQUIRED FOR INTERPHASE MICROTUBULE ORGANIZATION FROM THE CENTROSOME%REACTOME%R-HSA-380284.3	LOSS OF PROTEINS REQUIRED FOR INTERPHASE MICROTUBULE ORGANIZATION FROM THE CENTROSOME%REACTOME%R-HSA-380284.3	Details	66	0.497857707843858	1.58985144329362	0.00602863602110023	0.0477271690596982	0	14687	PRKACA,DCTN3,ODF2,TUBA1A,CEP164,CEP41,CEP250,DCTN2,CSNK1D,SDCCAG8,CLASP1,CDK5RAP2,CETN2,ACTR1A,TUBB4A,CEP290,SFI1,AKAP9,DYNC1H1,DYNC1I2,NINL,CCP110,CEP131,PAFAH1B1,CNTRL,PCNT
INTRA-GOLGI AND RETROGRADE GOLGI-TO-ER TRAFFIC%REACTOME DATABASE ID RELEASE 65%6811442	INTRA-GOLGI AND RETROGRADE GOLGI-TO-ER TRAFFIC%REACTOME DATABASE ID RELEASE 65%6811442	Details	174	0.48094225043714	1.74294586584216	0.000674308833445718	0.0265089137172439	0	14736	MAN2A2,AGPAT3,GBF1,CUX1,DCTN3,KIF3B,CYTH2,KIF26B,RAB6B,USE1,DCTN1,CYTH3,KIF21A,NAA38,KIFAP3,RGP1,KLC4,ARFGAP3,COPZ1,COG7,BICD2,DCTN2,RAB36,GOLGA1,KLC2,STX5,SNAP29,RAB9B,KIF27,KIFC2,CYTH1,ACTR1A,KIF3A,COG1,STX18,VPS53,GALNT2,ARF1,KIF1B,ARFIP2,COG4,KLC1,SYS1,KIF1A,ACTR10,NBAS,KIF21B,NAPA,COPA,ARFGAP1,COPG1,VPS52,DYNC1H1,KIF5C,COPZ2,DYNC1I2,KIF19,PAFAH1B1,DCTN4,PAFAH1B3,PLA2G6,KIF5A,NAPB,RAB30
THROMBOXANE SIGNALLING THROUGH TP RECEPTOR%REACTOME%R-HSA-428930.4	THROMBOXANE SIGNALLING THROUGH TP RECEPTOR%REACTOME%R-HSA-428930.4	Details	19	0.681134316330808	1.70446401819776	0.00574241181296144	0.0459623691339044	0	14348	GNB3,GNA11,GNG3,GNB2,GNG2,GNB1,GNG7
ADORA2B MEDIATED ANTI-INFLAMMATORY CYTOKINES PRODUCTION%REACTOME DATABASE ID RELEASE 65%9660821	ADORA2B MEDIATED ANTI-INFLAMMATORY CYTOKINES PRODUCTION%REACTOME DATABASE ID RELEASE 65%9660821	Details	39	0.570997529620448	1.67884148658121	0.00153491941673062	0.0265089137172439	0	14687	PRKACA,ADCY6,GNAZ,GNB3,GNG3,ADCY5,GNB2,GNG2,GNB1,GNG7,ADCY9
ABC TRANSPORTERS IN LIPID HOMEOSTASIS%REACTOME DATABASE ID RELEASE 65%1369062	ABC TRANSPORTERS IN LIPID HOMEOSTASIS%REACTOME DATABASE ID RELEASE 65%1369062	Details	16	0.687885022751112	1.666171796524	0.00566801619433198	0.045700946825393	0	14553	ABCA3,ABCA2,ABCG1,ABCA7,ABCG4,ABCD2,ABCD1
GLUTAMATE BINDING, ACTIVATION OF AMPA RECEPTORS AND SYNAPTIC PLASTICITY%REACTOME DATABASE ID RELEASE 65%399721	GLUTAMATE BINDING, ACTIVATION OF AMPA RECEPTORS AND SYNAPTIC PLASTICITY%REACTOME DATABASE ID RELEASE 65%399721	Details	26	0.628242955624285	1.68168922840276	0.00479233226837061	0.0416130871104159	0	14720	CACNG4,GRIA3,CAMK2A,DLG4,TSPAN7,EPB41L1,PRKCG,PICK1,GRIA2,GRIA1,CACNG8,CAMK2B,CAMK2D,CACNG2,PRKCA,GRIP1,GRIP2,MYO6,NSF,AP2A1
TRANSMISSION ACROSS CHEMICAL SYNAPSES%REACTOME DATABASE ID RELEASE 65%112315	TRANSMISSION ACROSS CHEMICAL SYNAPSES%REACTOME DATABASE ID RELEASE 65%112315	Details	206	0.464941569225999	1.71482427602284	0.000659195781147001	0.0265089137172439	0	14784	ABAT,CACNG4,NCALD,PRKACA,ADCY6,TSPOAP1,GNB3,GRIA3,ALDH2,VAMP2,CAMK2A,ARHGEF9,NBEA,GABRA3,DNAJC5,DLG4,MAPK3,SNAP25,GNG3,HRAS,PPFIA2,CHRNA4,GRIK5,LIN7B,ADCY5,GNB2,CAMK4,APBA1,TSPAN7,GNG2,RAB3A,GIT1,GLRB,ALDH5A1,CACNB3,GNB1,KCNJ4,EPB41L1,GNG7,KCNJ2,LRRC7,PRKCG,CAMK1,SYT1,STX1A,PICK1,RPS6KA2,ADCY9,CACNB1,SLC1A2,ARL6IP5,PDPK1,CASK,GRIA2,GRIK1,GRIA1,SRC,PPM1E,CACNG8,GLRA2,BCHE,CHRNB2,PPFIA4,CAMK2B,GRIK2,NRG1,CACNA1A,GRIN3A,MAPK1,CPLX1,SLC6A1,CAMK2D,PPM1F,GRIN3B,CACNG2,PRKCA,PRKAR1A,CACNA1E,RIMS1,SLC1A6,SLC18A3,GRIK3,GNAI1,RPS6KA3,GRIP1,KCNJ9,KCNJ5,GABRA2,NRGN
SIGNALING BY NTRK1 (TRKA)%REACTOME DATABASE ID RELEASE 65%187037	SIGNALING BY NTRK1 (TRKA)%REACTOME DATABASE ID RELEASE 65%187037	Details	108	0.440685804237421	1.5124455767345	0.00563777307963354	0.045700946825393	0	14495	DNAL4,DUSP3,NTRK2,RALGDS,MAPK11,AP2A2,NAB2,ASCL1,JUND,KIDINS220,MAPK3,CDK5,SHC2,HRAS,ID4,ADCYAP1,TCF12,SHC3,PIK3R2,DNM1,CDK5R2,RPS6KA2,CDK5R1,RALB,IRS1,PLCG1,ID2,CHD4,DNM3,VRK3,DUSP4,MAPK1,MAP2K2,JUNB,BRAF,RPS6KA3,ADCYAP1R1,MAPKAPK2,MEF2C,EGR2,PIK3R1,MAPK12,RIT1,MAPK7,ATF2,RRAD,MEF2D,MAPK14,ARC,ID3,SOS1,MEF2A,AP2A1,MAP2K5
