NAME	description	GSdetails	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
HALLMARK_GLYCOLYSIS%MSIGDBHALLMARK%HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS%MSIGDBHALLMARK%HALLMARK_GLYCOLYSIS	Details	134	-0.347908719279445	-1.38893432922337	0.00854700854700855	0.0449021921825269	0	2834	STC2,PGAM1,EGLN3,AURKA,CLN6,PYGL,TXN,PDK3,ELF3,POLR3K,STC1,HMMR,MET,DEPDC1,ECD,NASP,SLC25A10,KIF20A,CENPA,GPC4,DSC2,CD44,PGM2,SRD5A3,HK2,GCLC,CTH,ALG1,RPE,SDHC,XYLT2,AK4,SLC25A13,GUSB,GOT2,PAXIP1,LHPP,PKP2,GNPDA1,PFKP,KDELR3,ALDH7A1,CASP6,ME2,PLOD2,GPR87
HALLMARK_G2M_CHECKPOINT%MSIGDBHALLMARK%HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT%MSIGDBHALLMARK%HALLMARK_G2M_CHECKPOINT	Details	134	-0.62722876427628	-2.50404636245962	0.00213675213675214	0.0217364207960557	0	2745	DKC1,HMGA1,NOLC1,AURKA,CKS1B,CKS2,NCL,KPNA2,TTK,DBF4,PRIM2,KIF20B,CDC6,HMMR,CDC25A,WRN,PTTG1,MYC,CCNA2,CHEK1,ORC6,BRCA2,FBXO5,STIL,MAD2L1,SNRPD1,NASP,SLC7A5,NUP98,PLK4,CENPA,SMARCC1,MCM6,POLA2,PLK1,SUV39H1,KATNA1,CENPE,CHAF1A,MCM5,KIF11,KIF23,BARD1,CCNB2,AURKB,LIG3,TRAIP,CDC20,SMC2,HNRNPD,TACC3,CDKN3,MYBL2,KNL1,UCK2,MT2A,ESPL1,SS18,TRA2B,NUP50,INCENP,BIRC5,CUL4A,FOXN3,CDK4,E2F3,UBE2C,SMC4,CDC45,NUSAP1,GINS2,HMGB3,KIF15,TGFB1,TOP2A,HIF1A
HALLMARK_COMPLEMENT%MSIGDBHALLMARK%HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT%MSIGDBHALLMARK%HALLMARK_COMPLEMENT	Details	103	-0.413286094564447	-1.60270280982296	0.00188323917137476	0.0217364207960557	0	2427	LCK,CR2,APOC1,PFN1,PLSCR1,SH2B3,CTSC,CD55,PIK3R5,S100A13,LYN,PLA2G7,CEBPB,CASP10,LAP3,MMP14,PIM1,GPD2,APOBEC3G,GCA,GNB4,MSRB1,GATA3,CTSH
HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	Details	155	-0.696296932971928	-2.84201065160153	0.00218340611353712	0.0217364207960557	0	3082	CHEK2,LYAR,NUP205,HMGA1,MTHFD2,NOLC1,AURKA,CKS1B,MSH2,CCNE1,CKS2,DSCC1,PHF5A,UNG,RPA3,PAICS,PA2G4,DLGAP5,RAN,GINS1,KPNA2,HELLS,PRIM2,RBBP7,AK2,NUP107,HMMR,CDC25A,ORC2,RAD51AP1,PTTG1,TRIP13,MYC,PSIP1,CHEK1,ORC6,BRCA2,SNRPB,MAD2L1,DEPDC1,RANBP1,DEK,CTPS1,SMC6,NASP,NOP56,PLK4,RNASEH2A,MCM6,POLA2,PLK1,RPA1,SUV39H1,RFC2,SPAG5,CENPE,MMS22L,SPC25,GINS4,EXOSC8,BRCA1,CDCA8,SHMT1,MCM5,RRM2,TK1,BARD1,CCNB2,AURKB,PRKDC,CDC20,RFC3,E2F8,ASF1B,HNRNPD,POLD3,TACC3,CDKN3,PCNA,CIT,MYBL2,WEE1,CDCA3,HMGB2,ESPL1,ZW10,TRA2B,BIRC5,CDK4,ANP32E,RFC1,SMC4,BUB1B,POP7,DCTPP1,TIMELESS,TUBG1,HMGB3,DUT,KIF18B,PNN,SPC24,GINS3,TOP2A,MCM7,NUDT21,CENPM,UBE2T,NUP153,USP1,PSMC3IP,MCM2,EIF2S1,NBN,MKI67,UBE2S
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	Details	125	-0.42336458682704	-1.67827490273841	0.00202839756592292	0.0217364207960557	0	2587	TRIM14,NMI,MTHFD2,PSMA2,PLSCR1,VAMP8,CD74,HLA-DRB1,RIPK2,HERC6,IFITM2,HLA-A,PARP14,MX2,CASP8,TNFAIP2,BST2,NAMPT,TRIM25,STAT3,EPSTI1,LAP3,HLA-B,PIM1,MT2A,TAP1,OAS3,NOD1,PSMB10,HLA-G,LY6E,IFI30,IFITM3,IFIH1,TRIM21,RNF213,PFKP
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	Details	64	-0.508180246555496	-1.83500625521148	0.0015600624024961	0.0217364207960557	0	2507	TRIM14,NMI,IFITM1,PLSCR1,CD74,RIPK2,HLA-C,HERC6,IFITM2,PARP14,PROCR,CASP8,BST2,TRIM25,EPSTI1,LAP3,TAP1,LY6E,IFI30,IFITM3,IFIH1,TRIM21
HALLMARK_ALLOGRAFT_REJECTION%MSIGDBHALLMARK%HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION%MSIGDBHALLMARK%HALLMARK_ALLOGRAFT_REJECTION	Details	108	-0.538489431858532	-2.09490836937852	0.00192307692307692	0.0217364207960557	0	2125	LCK,EIF5A,IL27RA,CD74,EIF3D,TPD52,RIPK2,MMP9,EIF3A,MTIF2,THY1,LYN,RPL9,RPS3A,HLA-DRA,HLA-A,TAP2,ABCE1,MRPL3,RPS9,BRCA1,DEGS1,SIT1,TAP1,RPL39,PSMB10,HLA-G
HALLMARK_UNFOLDED_PROTEIN_RESPONSE%MSIGDBHALLMARK%HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE%MSIGDBHALLMARK%HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details	88	-0.560656321236937	-2.11022027741891	0.00185185185185185	0.0217364207960557	0	2358	DKC1,STC2,MTHFD2,NOLC1,CKS1B,PSAT1,PDIA5,EIF4A1,SEC11A,GEMIN4,IARS,EXOSC5,EIF4EBP1,XBP1,ATF4,DDX10,RRP9,DCP2,IMP3,RPS14,NOP56,SLC7A5,HYOU1,XPOT,SHC1,CEBPB,EXOSC1,EIF4G1,ALDH18A1,SDAD1,CHAC1,EIF4A3,EXOC2,SKIV2L2,NHP2,EIF4E
HALLMARK_MTORC1_SIGNALING%MSIGDBHALLMARK%HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING%MSIGDBHALLMARK%HALLMARK_MTORC1_SIGNALING	Details	135	-0.522338642731014	-2.09018130573298	0.00210970464135021	0.0217364207960557	0	2234	NUP205,MTHFD2,SLC2A3,EGLN3,AURKA,EIF2S2,HPRT1,CTSC,PSAT1,UNG,SEC11A,PHGDH,EEF1E1,PNO1,ETF1,USO1,STC1,CDC25A,SLC7A11,XBP1,ATP5G1,RRP9,NMT1,SORD,SLC7A5,M6PR,ELOVL5,HSPD1,MAP2K3,CCNG1,IMMT,PLK1,RPA1,GLA,ELOVL6,NAMPT,HK2,RRM2,PSMA4,HMBS,GCLC,CTH,CCT6A,TMEM97,AK4,TES,TOMM40,NUFIP1,NFKBIB,IFI30
HALLMARK_ESTROGEN_RESPONSE_LATE%MSIGDBHALLMARK%HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE%MSIGDBHALLMARK%HALLMARK_ESTROGEN_RESPONSE_LATE	Details	140	-0.435035085225563	-1.74665207730974	0.00216919739696312	0.0217364207960557	0	2606	SCNN1A,OVOL2,GAL,ST14,SLC29A1,FKBP5,HPRT1,MICB,PAPSS2,IMPA2,LLGL2,ASS1,CDC6,CXCL12,UGDH,NMU,XBP1,KRT19,STIL,SORD,SLC7A5,KIF20A,ELOVL5,PLK4,METTL3,CD44,RNASEH2A,FABP5,GLA,CDC20,PERP,ANXA9,LSR,RBBP8,KLK10,AFF1,IGFBP4,PPIF,MAPK13,PDZK1,KLF4,RAB31,XRCC3,ALDH3A2,MDK,GINS2,SFN,SCARB1
