NAME	description	GSdetails	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
MITOTIC G2-G2 M PHASES%REACTOME%R-HSA-453274.4	MITOTIC G2-G2 M PHASES%REACTOME%R-HSA-453274.4	Details	176	-0.381985020497982	-1.5377530202547	0.00179856115107914	0.0190410909046793	0	2903	PSMB8,AURKA,PSMA2,HAUS4,PSMD1,PSMA5,RPS27A,CDC25A,BORA,CCNA2,PPP2R1B,HMMR,TP53,HAUS1,CDC25C,PSME3,CDK7,HAUS6,PLK1,PSMA3,PSMA6,MYBL2,PSMD7,PSMA4,PSMB1,PSMB4,CEP76,CCNB1,CCNB2,PSMD5,PSMB9,PPP2R2A,PLK4,TUBB,TPX2,CENPJ,PSMD11,HAUS8,CEP192,SEM1,E2F3,GTSE1,HAUS7,CEP152,PSMC6,RBX1,XPO1,PKMYT1,PSMB2,CEP72,HSP90AB1,LIN9,FOXM1,UBA52,PSMC5,PSMB7,CENPF,CDK1,PSMB6,RAB8A,HAUS2,WEE1,PSMA1,MAPRE1,MNAT1,PSMD12,ALMS1,PSMB5,PSMD14,YWHAE,PSME4,CUL1,PSMC3
RNA POLYMERASE I TRANSCRIPTION TERMINATION%REACTOME DATABASE ID RELEASE 65%73863	RNA POLYMERASE I TRANSCRIPTION TERMINATION%REACTOME DATABASE ID RELEASE 65%73863	Details	27	-0.602883461565868	-1.73667155859253	0.00414364640883978	0.0335229538075981	0	3468	TAF1D,POLR1E,POLR1D,POLR1B,CDK7,TTF1,POLR2K,POLR2H,GTF2H2,MNAT1,CAVIN1,TAF1B,TBP,CCNH,GTF2H3
POLYMERASE SWITCHING ON THE C-STRAND OF THE TELOMERE%REACTOME DATABASE ID RELEASE 65%174411	POLYMERASE SWITCHING ON THE C-STRAND OF THE TELOMERE%REACTOME DATABASE ID RELEASE 65%174411	Details	26	-0.60325260478974	-1.72398457600452	0.00694444444444444	0.0492067970905443	0	1790	TERF1,DSCC1,PRIM1,PRIM2,POLA1,POLA2,RFC2,RFC4,RFC3,POLD3,CHTF8,PCNA
RNA POLYMERASE I PROMOTER ESCAPE%REACTOME DATABASE ID RELEASE 65%73772	RNA POLYMERASE I PROMOTER ESCAPE%REACTOME DATABASE ID RELEASE 65%73772	Details	27	-0.597900404769904	-1.7223173200637	0.00552486187845304	0.0414397644837852	0	3468	TAF1D,POLR1E,POLR1D,POLR1B,CDK7,CBX3,POLR2K,POLR2H,GTF2H2,MNAT1,TAF1B,TBP,CCNH,GTF2H3
G2 M TRANSITION%REACTOME DATABASE ID RELEASE 65%69275	G2 M TRANSITION%REACTOME DATABASE ID RELEASE 65%69275	Details	174	-0.380796402479846	-1.52894869712699	0.00357142857142857	0.0297761335609941	0	2903	PSMB8,AURKA,PSMA2,HAUS4,PSMD1,PSMA5,RPS27A,CDC25A,BORA,CCNA2,PPP2R1B,HMMR,TP53,HAUS1,CDC25C,PSME3,CDK7,HAUS6,PLK1,PSMA3,PSMA6,MYBL2,PSMD7,PSMA4,PSMB1,PSMB4,CEP76,CCNB1,CCNB2,PSMD5,PSMB9,PPP2R2A,PLK4,TUBB,TPX2,CENPJ,PSMD11,HAUS8,CEP192,SEM1,GTSE1,HAUS7,CEP152,PSMC6,RBX1,XPO1,PKMYT1,PSMB2,CEP72,HSP90AB1,LIN9,FOXM1,UBA52,PSMC5,PSMB7,CENPF,CDK1,PSMB6,RAB8A,HAUS2,WEE1,PSMA1,MAPRE1,MNAT1,PSMD12,ALMS1,PSMB5,PSMD14,YWHAE,PSME4,CUL1,PSMC3
DEVELOPMENTAL BIOLOGY%REACTOME DATABASE ID RELEASE 65%1266738	DEVELOPMENTAL BIOLOGY%REACTOME DATABASE ID RELEASE 65%1266738	Details	896	-0.265901207250486	-1.22359478266701	0.005	0.0382338611449452	0	2140	POU5F1,FOXH1,EPHA1,NODAL,ZSCAN10,FOXA3,GRB7,LEFTY2,ST14,DPPA2,KLK8,LIN28A,SALL4,PRSS8,DPPA4,RPL22L1,CER1,PABPC1,RPL39L,PSMB8,EIF4B,UNG,EIF4A1,RPL15,PFN1,TRPC4,PSMA2,RPL22,RPL14,RPS13,KLK13,CNOT1,PSMD1,RPL36AL,RPS26,RPS23,PSMA5,VASP,RPS27A,RPL4,IRX2,RBBP7,RPL21,WFDC2,TEAD4,RPSA,RARG,RPS25,RPS18,CCNC,RPL24,RPL5,MMP9,RPL12,KRT7,DPY30,CNOT9,PAK1,TP53,CXCL12,TGS1,ETF1,RPS24,POLR2D,MBP,MED14,PSME3,RPS3A,RPS12,DEK,RPL26,FGFR1,MYC,MYO10,RPS20,MED20,RPL30,RPL36A,RPL3,PIK3CD,PSMA3,SEMA6A,RPL35A,RPL7,RPLP0,RPS3,PSMA6,PSMD7,PSMA4,KDM6A,FGF2,RPS4X,RPS8,PSMB1,PSMB4,UPF2,RPL34,RPS14,RPL10A,RPL19,RPL10,ELOC,RPL11,RPS15A,RPS29,RPL38,RPS2,RPS7,PSMD5,CAP1,RPL27,PSMB9,WDR5,VAV3,UPF3B,RPS6,MED22,MAGOHB,RPS10,RPL41,PIK3CB,RPL32,RPL35,EIF4E,SCN4A,RPL27A,FOXD3,RPL7A,RPL13A,PSMD11,ASH2L,CARM1,RPL23,COL4A1,PAXIP1,DSC2,RPL23A,RPS9,SOX17,EIF4A3,SEM1,KRT18,RPL31,HEY2,SALL1,MED30,MAPK13,RPL37,SRPK1,ROCK1,RND1,CTCF,RPS21,PSMC6,RBX1,PSMB2,RNPS1,HSP90AB1,MAGOH,MET,ADGRG6,RHOA,KIF4A,MIXL1,UBA52,IHH,RPS5,SEMA3A,PSMC5,ENAH,RPL8,RPS16,CSNK2A1,SOX2
SISTER CHROMATID COHESION%GOBP%GO:0007062	SISTER CHROMATID COHESION%GOBP%GO:0007062	Details	35	-0.570137718840281	-1.74275105998995	0.00424929178470255	0.0340703113976534	0	1732	DSCC1,ESCO2,BUB1,HASPIN,NAA50,PLK1,CDCA5,SGO2,SGO1,KIF22,DDX11,PHB2,MCMBP,MRE11,BOD1,ESCO1
NUCLEOSOME ASSEMBLY%GOBP%GO:0006334	NUCLEOSOME ASSEMBLY%GOBP%GO:0006334	Details	34	-0.55871269348521	-1.69014496042045	0.00567375886524823	0.0420541418607183	0	3079	NPM1,NASP,SUPT16H,CHRAC1,HMGB2,CHAF1A,NAP1L1,DAXX,ASF1B,GRWD1,POLE3,CHAF1B,SART3,NAP1L4,ASF1A,HAT1,ANP32B,NAP1L2,SSRP1
MITOTIC CHROMOSOME CONDENSATION%GOBP%GO:0007076	MITOTIC CHROMOSOME CONDENSATION%GOBP%GO:0007076	Details	15	-0.717811955416405	-1.81403112719409	0.00386100386100386	0.0315202838398715	0	1552	NCAPD3,PHF13,NCAPG,PLK1,CDCA5,NCAPD2,NCAPH,SMC2,NUSAP1,SMC4
SPLICEOSOMAL COMPLEX ASSEMBLY%GOBP%GO:0000245	SPLICEOSOMAL COMPLEX ASSEMBLY%GOBP%GO:0000245	Details	70	-0.484278123443176	-1.67605678453335	0.00309597523219814	0.0272602138958484	0	2261	PHF5A,SNRPF,PSIP1,SNRPD3,SNRPD1,SNRPB,SRSF1,SF3B6,SF3A3,SMN2,SNRPG,SNRPA1,SNRPE,SNRPC,DDX46,SF3B3,SRSF10,SNRPD2,SF3B4,RBMX2,SRPK1,USP39,YTHDC1
