NAME	description	GSdetails	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
SIGNALING BY NTRK2 (TRKB)%REACTOME DATABASE ID RELEASE 65%9006115	SIGNALING BY NTRK2 (TRKB)%REACTOME DATABASE ID RELEASE 65%9006115	Details	19	0.661718022670609	1.63758237347596	0.00562700964630225	0.0419055356577527	0	14325	CDK5,DOCK3,NTRK2,HRAS,NTF4,FRS3,CDK5R1,PIK3R1,PLCG1,SRC,NTF3
RAB GEFS EXCHANGE GTP FOR GDP ON RABS%REACTOME DATABASE ID RELEASE 65%8876198	RAB GEFS EXCHANGE GTP FOR GDP ON RABS%REACTOME DATABASE ID RELEASE 65%8876198	Details	82	0.460644450870841	1.53467702782898	0.00367376928728876	0.0301710880430604	0	14787	DENND2A,DENND6B,RIN2,DENND5B,GDI1,RAB6B,RAB5B,AKT1,RGP1,TRAPPC1,RAB5C,AKT2,AKT3,TRAPPC3,RAB9B,TRAPPC9,DENND1A,RAB3IL1,SBF1,RAB7A,HPS4,TRAPPC5,RAB3A,DENND4A
REGULATION OF PROTEIN LOCALIZATION TO CELL SURFACE%GOBP%GO:2000008	REGULATION OF PROTEIN LOCALIZATION TO CELL SURFACE%GOBP%GO:2000008	Details	27	0.625722077110688	1.68569312467809	0.00312989045383412	0.0273288626831301	0	14791	MAP1A,GBF1,ABCA7,ABCA2,TM9SF4,KCNAB2,GPD1L,RAB11FIP5,RAB11B,TMEM35A,STX4
LYSOSOME ORGANIZATION%GOBP%GO:0007040	LYSOSOME ORGANIZATION%GOBP%GO:0007040	Details	79	0.464646424545411	1.54276605520889	0.00440528634361234	0.0348756464882702	0	14699	ATP6AP1,PI4KB,ATP6V0A1,MBTPS1,TMEM175,ATP6V1F,RNASEK,ATP6V0C,SNAPIN,CHMP4B,CLN3,ATP6V0B,CHMP6,CHMP1A,CHMP3,ACP2,CLVS1,GAA,ARSB,ATP6V1D,OCA2,CHMP5,RAB7A,HPS4,SPG11,TPP1,HOOK3
SPERMATOGENESIS%GOBP%GO:0007283	SPERMATOGENESIS%GOBP%GO:0007283	Details	208	0.363660880849693	1.36727005549792	0.00679809653297077	0.0483882653446604	0	14729	PRKACA,REC8,IFT20,DNALI1,CCNA1,CFAP53,TTC21A,SOX9,FAM50A,AZIN2,CFAP44,C3orf62,IQCG,BBOF1,CDK16,PLD6,TDRD7,RFX2,IFT81,PYGO1,CFAP43,SPEF2,CFAP65,ABHD2,ZGLP1,FOXJ1,TMEM232,DZIP1,ARMC2,CFAP61,DNAH1,CCDC146,SLC9A8,CFAP157,ARMC12,CFAP54,NPHP1,RSPH1,NANOS3,ALKBH5,DRC7,ROPN1L,DNHD1,SPA17,NME5,BAG6,FNDC3A,SPAG6,SPAG17,EIF4G3,TMEM203,ARMC3,BBS2,DLEC1,CYP26B1,MAK,PCSK4,CFAP69,CFAP47,ACRBP,NDRG3,TTC12,ZCWPW1,KAT5,JAM2,IFT27,CCNI,DPY19L2,CFAP73,FSIP2,FOXJ2,TSGA10,JAG2
AXONEMAL DYNEIN COMPLEX ASSEMBLY%GOBP%GO:0070286	AXONEMAL DYNEIN COMPLEX ASSEMBLY%GOBP%GO:0070286	Details	26	0.682338253217166	1.82720646527167	0.00078003120124805	0.0187157724653365	0	14533	CCDC103,CCDC40,NISCH,CCDC65,ZMYND10,CFAP100,DRC1,DNAH2,DNAAF3,DNAH1,DNAAF4,DNAI1,DNAAF1,DNAH7,SPAG1,TTC12,DNAI2,CFAP73,CCDC39,DNAL1
REGULATION OF MICROTUBULE-BASED MOVEMENT%GOBP%GO:0060632	REGULATION OF MICROTUBULE-BASED MOVEMENT%GOBP%GO:0060632	Details	30	0.586580311107339	1.61057312170348	0.00705329153605016	0.0497745162088278	0	14733	HDAC6,CCDC40,MAP2,CCDC65,DRC1,CFAP43,DNAAF1,KIF9,APC,CYB5D1,BBS2,CFAP69,TRIM46,CCDC39,TACR3,DNAH11
POSITIVE REGULATION OF PROTEIN LOCALIZATION TO MEMBRANE%GOBP%GO:1905477	POSITIVE REGULATION OF PROTEIN LOCALIZATION TO MEMBRANE%GOBP%GO:1905477	Details	75	0.46234889415465	1.52391013642068	0.00661278471711976	0.0471762073341794	0	14790	CLIP3,KCNB1,AKT1,CNPY4,EPHA3,EFCAB7,MIEF2,CLN3,HRAS,NECAB2,AKT2,PRNP,SLC5A3,TCAF1,LRP1,SQSTM1,MIEF1,PRKCE,PDPK1,GPER1,EPHA2,EPHB2,EGFR,STX4,ATP2B4,FYN,ZDHHC8,PIK3R1
LYTIC VACUOLE ORGANIZATION%GOBP%GO:0080171	LYTIC VACUOLE ORGANIZATION%GOBP%GO:0080171	Details	79	0.464646424545411	1.54276605520889	0.00440528634361234	0.0348756464882702	0	14699	ATP6AP1,PI4KB,ATP6V0A1,MBTPS1,TMEM175,ATP6V1F,RNASEK,ATP6V0C,SNAPIN,CHMP4B,CLN3,ATP6V0B,CHMP6,CHMP1A,CHMP3,ACP2,CLVS1,GAA,ARSB,ATP6V1D,OCA2,CHMP5,RAB7A,HPS4,SPG11,TPP1,HOOK3
PHOSPHOLIPID BIOSYNTHETIC PROCESS%GOBP%GO:0008654	PHOSPHOLIPID BIOSYNTHETIC PROCESS%GOBP%GO:0008654	Details	184	0.371392994881693	1.38201659323334	0.00685871056241427	0.0487092589489104	0	14736	AGPAT3,TTC7B,IP6K1,CHKB,DGKD,AGPAT1,MTMR3,PI4KB,PITPNM1,UVRAG,PIGH,ITPKC,SLC27A1,EFR3B,PIGQ,CLN3,PI4KA,MTMR1,OCRL,IP6K2,DGKQ,PIGS,FITM2,GPAA1,DPM3,INPP4B,INPP5E,PIGG,PIK3C3,GNPAT,PIGM,PIK3R2,INPP5J,AGPAT4,CDIPT,SYNJ1,MTMR4,ITPKB,PLA2G4C,MPPE1,PIK3R3,PIP5K1C,DOLK,PTDSS2,TTC7A,MBOAT7,DGKE,PIGZ,FIG4,SLC44A5,PIK3R1,PITPNM3,INPP5K,PLA2G6,HMGCS1,PIGO,FADS1,AGPAT2,PGAP1,ETNK2,DGKB,MVD,PIGC,TMEM150A,INPPL1,PIP5K1B,MVK,DHDDS,PIP4K2C,MTM1,INPP5D,CHKA,HMGCS2,IDI1,PI4K2A,LCAT,SPHK2,PIKFYVE,CISH,PCYT1A,SOCS3,LPCAT2
