NAME	description	GSdetails	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
COMPLEX I BIOGENESIS%REACTOME%R-HSA-6799198.3	COMPLEX I BIOGENESIS%REACTOME%R-HSA-6799198.3	Details	50	-0.512331537924023	-1.70110247172219	0.00284090909090909	0.0319064862461089	0	3272	NDUFS5,NDUFAB1,NDUFAF2,NDUFAF7,NDUFB9,TIMMDC1,TMEM126B,NDUFV2,NDUFA12,NDUFS6,NDUFAF4,NDUFA9,COA1,NDUFB4,NDUFB6,NDUFA6,NDUFS4,NUBPL
FORMATION OF THE CORNIFIED ENVELOPE%REACTOME DATABASE ID RELEASE 65%6809371	FORMATION OF THE CORNIFIED ENVELOPE%REACTOME DATABASE ID RELEASE 65%6809371	Details	24	-0.639781077496463	-1.84036633863685	0.00395778364116095	0.0378764721024519	0	2155	ST14,KLK8,PRSS8,KLK13,DSC2,CAPN1,PERP,DSP,PKP4,PPL,DSG2,PKP2
MAMMARY GLAND DEVELOPMENT PATHWAY PREGNANCY AND LACTATION STAGE 3 OF 4 %WIKIPATHWAYS_20240210%WP2817%HOMO SAPIENS	MAMMARY GLAND DEVELOPMENT PATHWAY PREGNANCY AND LACTATION STAGE 3 OF 4 %WIKIPATHWAYS_20240210%WP2817%HOMO SAPIENS	Details	23	-0.644976284815778	-1.83305156097037	0.00398406374501992	0.0380120853970138	0	1120	GAL,TNFSF11,TNFRSF11A,MYC,ERBB3,EIF4E
OXIDATIVE PHOSPHORYLATION%WIKIPATHWAYS_20240210%WP623%HOMO SAPIENS	OXIDATIVE PHOSPHORYLATION%WIKIPATHWAYS_20240210%WP623%HOMO SAPIENS	Details	33	-0.593546208651977	-1.83100484697002	0.00278164116828929	0.0319064862461089	0	2127	NDUFS5,ATP5G1,NDUFAB1,ATP5H,NDUFB9,NDUFA4,NDUFV2,NDUFS6,NDUFA9
MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX ASSEMBLY%GOBP%GO:0033108	MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX ASSEMBLY%GOBP%GO:0033108	Details	85	-0.483780303239217	-1.75999026745385	0.00159489633173844	0.0265089137172439	0	2672	NDUFS5,SCO1,NDUFAB1,NDUFAF2,NDUFAF7,NDUFB9,UQCRFS1,PET117,SDHAF2,TMEM223,TMEM126B,CHCHD4,OMA1,TIMM21,SAMM50,AIFM1,NDUFAF4,NDUFA9,COA1,SMIM20,SDHAF3,DMAC1,COX18,TMEM126A,CHCHD7,COX17,OXA1L,COX16
POSITIVE REGULATION OF INNATE IMMUNE RESPONSE%GOBP%GO:0045089	POSITIVE REGULATION OF INNATE IMMUNE RESPONSE%GOBP%GO:0045089	Details	195	-0.343534684942451	-1.38847290002043	0.00607287449392713	0.0479566114124207	0	1811	PYCARD,NMI,CAV1,TRIM6,SYK,RNF135,PLSCR1,DHX33,F2RL1,RIPK2,XRCC5,XRCC6,MFHAS1,IPO5,S100A14,PAK1,LYN,PLCG2,PARP9,FADD,ZDHHC5,LACC1,HSPD1,MYD88,UBE2K,SLC15A3,OAS3,IFIH1,LAMP1,CYBA,HCK,INAVA,IFI16,TNIP2,PHB2,TRIM25
PROTON MOTIVE FORCE-DRIVEN MITOCHONDRIAL ATP SYNTHESIS%GOBP%GO:0042776	PROTON MOTIVE FORCE-DRIVEN MITOCHONDRIAL ATP SYNTHESIS%GOBP%GO:0042776	Details	40	-0.540388162165496	-1.71909340123325	0.00423728813559322	0.0388297872340426	0	3262	SDHD,NDUFS5,NDUFAB1,NDUFB9,NDUFV2,NDUFA12,NDUFS6,SDHB,NDUFA9,SDHC,NDUFB4,NDUFB6,NDUFA6,NDUFS4
POSITIVE REGULATION OF RESPONSE TO BIOTIC STIMULUS%GOBP%GO:0002833	POSITIVE REGULATION OF RESPONSE TO BIOTIC STIMULUS%GOBP%GO:0002833	Details	205	-0.35027064496094	-1.42442684981228	0.0041407867494824	0.0386268338978462	0	1811	PYCARD,NMI,CAV1,TRIM6,SYK,RNF135,HLA-DRB1,PLSCR1,DHX33,F2RL1,RIPK2,XRCC5,XRCC6,MFHAS1,IPO5,S100A14,PAK1,LYN,PLCG2,PARP9,FADD,ZDHHC5,LACC1,HSPD1,MYD88,UBE2K,SLC15A3,OAS3,IFIH1,KLK7,LAMP1,CYBA,HCK,INAVA,IFI16,TNIP2,PHB2,TRIM25
ELECTRON TRANSPORT CHAIN%GOBP%GO:0022900	ELECTRON TRANSPORT CHAIN%GOBP%GO:0022900	Details	83	-0.499837517128641	-1.81558330030326	0.00155763239875389	0.0265089137172439	0	2514	COX7C,SDHD,UQCRH,NDUFS5,NDUFAB1,COX5A,PDIA5,NDUFB9,NDUFA4,UQCRFS1,SDHAF2,CYCS,NDUFV2,NDUFA12,GPD2,NDUFS6,SDHB,COA6,CYC1,SLC25A13,NDUFA9,UQCRC1,SDHC,UQCRHL,COX7B
ESTABLISHMENT OF PROTEIN LOCALIZATION TO MITOCHONDRION%GOBP%GO:0072655	ESTABLISHMENT OF PROTEIN LOCALIZATION TO MITOCHONDRION%GOBP%GO:0072655	Details	68	-0.454058196455146	-1.58326918647602	0.00447093889716841	0.0401552995656985	0	3318	TIMM8A,MAIP1,TOMM7,TOMM5,TOMM22,TIMM10,TIMM50,GRPEL1,HSPD1,CHCHD4,HSPA4,TOMM20,GRPEL2,TIMM21,TOMM40,SAMM50,AIFM1,RALA,TIMM9,TIMM44,COX18,TOMM6,DNAJC15,MIPEP,MTX1,OXA1L,TIMM13,PMPCB,TOMM34,TIMM22,AGK,MTX2,DNAJC19,PMPCA,TOMM70
REGULATION OF INSULIN RECEPTOR SIGNALING PATHWAY%GOBP%GO:0046626	REGULATION OF INSULIN RECEPTOR SIGNALING PATHWAY%GOBP%GO:0046626	Details	38	-0.545277270916556	-1.72126681525035	0.00420168067226891	0.0388297872340426	0	1236	GRB7,SORL1,SNX5,SIRT1,PRKCD,GRB14,PIP4K2A,PTPN2,VWA2,ENPP1
