NAME	description	GSdetails	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
PID_RXR_VDR_PATHWAY%MSIGDB_C2%PID_RXR_VDR_PATHWAY	PID_RXR_VDR_PATHWAY%MSIGDB_C2%PID_RXR_VDR_PATHWAY	Details	19	0.694268953407494	1.7373320087725	0.00410172272354389	0.0385557065884935	0	14710	RXRB,RARA,NCOA1,THRA,FAM120B,BCL2,RARB,RXRG,RXRA
LOSS OF PROTEINS REQUIRED FOR INTERPHASE MICROTUBULE ORGANIZATION FROM THE CENTROSOME%REACTOME%R-HSA-380284.3	LOSS OF PROTEINS REQUIRED FOR INTERPHASE MICROTUBULE ORGANIZATION FROM THE CENTROSOME%REACTOME%R-HSA-380284.3	Details	66	0.497857707843858	1.58985144329362	0.00602863602110023	0.0477271690596982	0	14687	PRKACA,DCTN3,ODF2,TUBA1A,CEP164,CEP41,CEP250,DCTN2,CSNK1D,SDCCAG8,CLASP1,CDK5RAP2,CETN2,ACTR1A,TUBB4A,CEP290,SFI1,AKAP9,DYNC1H1,DYNC1I2,NINL,CCP110,CEP131,PAFAH1B1,CNTRL,PCNT
THROMBOXANE SIGNALLING THROUGH TP RECEPTOR%REACTOME%R-HSA-428930.4	THROMBOXANE SIGNALLING THROUGH TP RECEPTOR%REACTOME%R-HSA-428930.4	Details	19	0.681134316330808	1.70446401819776	0.00574241181296144	0.0459623691339044	0	14348	GNB3,GNA11,GNG3,GNB2,GNG2,GNB1,GNG7
COPI-DEPENDENT GOLGI-TO-ER RETROGRADE TRAFFIC%REACTOME DATABASE ID RELEASE 65%6811434	COPI-DEPENDENT GOLGI-TO-ER RETROGRADE TRAFFIC%REACTOME DATABASE ID RELEASE 65%6811434	Details	78	0.501157695419796	1.63848351652513	0.00370644922164566	0.0366442334070732	0	14663	GBF1,KIF3B,KIF26B,USE1,KIF21A,KIFAP3,KLC4,ARFGAP3,COPZ1,KLC2,KIF27,KIFC2,KIF3A,STX18,ARF1,KIF1B,KLC1,KIF1A,NBAS,KIF21B,NAPA,COPA,ARFGAP1,COPG1,KIF5C,COPZ2,KIF19,KIF5A,NAPB,KIF9
ANCHORING OF THE BASAL BODY TO THE PLASMA MEMBRANE%REACTOME DATABASE ID RELEASE 65%5620912	ANCHORING OF THE BASAL BODY TO THE PLASMA MEMBRANE%REACTOME DATABASE ID RELEASE 65%5620912	Details	93	0.502502745438326	1.69505794793427	0.000712758374910905	0.0265089137172439	0	14687	PRKACA,DCTN3,ODF2,CEP89,TUBA1A,CEP164,CEP41,TCTN2,CEP250,DCTN2,MARK4,TCTN1,NPHP4,C2CD3,CSNK1D,SDCCAG8,TTBK2,CLASP1,B9D2,CDK5RAP2,CETN2,ACTR1A,FBF1,TUBB4A,NPHP1,CEP290,SFI1,AKAP9,DYNC1H1,DYNC1I2,NINL,CCP110,CEP131,MKS1,PAFAH1B1,CNTRL,PCNT
THROMBIN SIGNALLING THROUGH PROTEINASE ACTIVATED RECEPTORS (PARS)%REACTOME%R-HSA-456926.4	THROMBIN SIGNALLING THROUGH PROTEINASE ACTIVATED RECEPTORS (PARS)%REACTOME%R-HSA-456926.4	Details	25	0.634150500707699	1.68134291043954	0.00486223662884927	0.0418365986938558	0	14348	GNB3,F2R,GNA11,MAPK3,GNG3,GNB2,GNG2,GNB1,GNG7
RECRUITMENT OF MITOTIC CENTROSOME PROTEINS AND COMPLEXES%REACTOME%R-HSA-380270.4	RECRUITMENT OF MITOTIC CENTROSOME PROTEINS AND COMPLEXES%REACTOME%R-HSA-380270.4	Details	77	0.481788254415615	1.57228248485225	0.00518902891030393	0.0437859186813012	0	14687	PRKACA,DCTN3,ODF2,TUBA1A,CEP164,CEP41,CEP250,DCTN2,TUBGCP6,CSNK1D,SDCCAG8,CLASP1,CDK5RAP2,CETN2,ACTR1A,TUBGCP2,TUBG2,TUBB4A,CEP290,SFI1,AKAP9,DYNC1H1,DYNC1I2,NINL,CCP110,CEP131,PAFAH1B1,CNTRL,PCNT,CDK11A,NME7
CENTROSOME MATURATION%REACTOME%R-HSA-380287.4	CENTROSOME MATURATION%REACTOME%R-HSA-380287.4	Details	77	0.481788254415615	1.57228248485225	0.00518902891030393	0.0437859186813012	0	14687	PRKACA,DCTN3,ODF2,TUBA1A,CEP164,CEP41,CEP250,DCTN2,TUBGCP6,CSNK1D,SDCCAG8,CLASP1,CDK5RAP2,CETN2,ACTR1A,TUBGCP2,TUBG2,TUBB4A,CEP290,SFI1,AKAP9,DYNC1H1,DYNC1I2,NINL,CCP110,CEP131,PAFAH1B1,CNTRL,PCNT,CDK11A,NME7
LOSS OF NLP FROM MITOTIC CENTROSOMES%REACTOME%R-HSA-380259.3	LOSS OF NLP FROM MITOTIC CENTROSOMES%REACTOME%R-HSA-380259.3	Details	66	0.497857707843858	1.58985144329362	0.00602863602110023	0.0477271690596982	0	14687	PRKACA,DCTN3,ODF2,TUBA1A,CEP164,CEP41,CEP250,DCTN2,CSNK1D,SDCCAG8,CLASP1,CDK5RAP2,CETN2,ACTR1A,TUBB4A,CEP290,SFI1,AKAP9,DYNC1H1,DYNC1I2,NINL,CCP110,CEP131,PAFAH1B1,CNTRL,PCNT
RECRUITMENT OF NUMA TO MITOTIC CENTROSOMES%REACTOME%R-HSA-380320.5	RECRUITMENT OF NUMA TO MITOTIC CENTROSOMES%REACTOME%R-HSA-380320.5	Details	76	0.505907089129947	1.64908300775852	0.00370644922164566	0.0366442334070732	0	14687	PRKACA,DCTN3,NUMA1,ODF2,TUBA1A,CEP164,CEP41,CEP250,DCTN2,TUBGCP6,CSNK1D,SDCCAG8,CLASP1,CDK5RAP2,CETN2,ACTR1A,TUBGCP2,TUBG2,TUBB4A,CEP290,SFI1,AKAP9,DYNC1H1,DYNC1I2,NINL,CCP110,CEP131,PAFAH1B1,CNTRL,PCNT
DIACYLGLYCEROL METABOLIC PROCESS%GOBP%GO:0046339	DIACYLGLYCEROL METABOLIC PROCESS%GOBP%GO:0046339	Details	20	0.682537004797448	1.73975963888013	0.0040650406504065	0.0384024467949535	0	14416	DGKD,DGAT1,DGKQ,PLA2G15,PLCE1,DGKB,DGKI,LIPE,DGKE
RETINA DEVELOPMENT IN CAMERA-TYPE EYE%GOBP%GO:0060041	RETINA DEVELOPMENT IN CAMERA-TYPE EYE%GOBP%GO:0060041	Details	55	0.536601440625356	1.6635329805879	0.00228658536585366	0.0296277419111262	0	14744	SMARCD3,SDK2,SDK1,GPM6A,SOX9,RD3,SCAPER,CRB2,PTF1A,NEUROD4,CHD7,SAMD11,DLL1,TFAP2B,PTPRM,PAX2,ZNF513,NEUROD1,BMPR2,SMARCA4,NPHP1,TFAP2A,FOXN4,POU4F2,MFSD2A,PDGFRB,TGFB2,MDM1,DSCAM,RPGRIP1L,NRP1,AHI1
NEGATIVE REGULATION OF CELL DEVELOPMENT%GOBP%GO:0010721	NEGATIVE REGULATION OF CELL DEVELOPMENT%GOBP%GO:0010721	Details	135	0.419477006594961	1.48309109725903	0.00616438356164384	0.0484962406015038	0	14701	SEMA4F,SIRT2,EFNB3,DPYSL5,GDI1,DCC,MAP2,ULK2,TMEM178A,RARA,APPL2,GPR137,IL17D,PAX6,TSC22D1,PTPRS,FBXW7,SEMA4G,RUFY3,GORASP1,NF1,SEMA3B,NOG,IGF1,WNT7A,TCTA,SEMA6C,HOOK3,PTN,LOXL3,FOXJ1,RAPGEF2,FSTL3,ID2,SOX11,WNT3A,TRIM46,NPPC,HES1,LRRC17,ZFPM1,GPR137B,LAG3,EDNRB,VEGFA,HES5,NOTCH1,SEMA5B,GSK3B,DYNLT1,FBN1,GSK3A,MAFB,SEMA6D,SEMA3C,SEMA6B,DIP2B
