NAME	description	GSdetails	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
HALLMARK_GLYCOLYSIS%MSIGDBHALLMARK%HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS%MSIGDBHALLMARK%HALLMARK_GLYCOLYSIS	Details	134	-0.347908719279445	-1.38893432922337	0.00854700854700855	0.0449021921825269	0	2834	STC2,PGAM1,EGLN3,AURKA,CLN6,PYGL,TXN,PDK3,ELF3,POLR3K,STC1,HMMR,MET,DEPDC1,ECD,NASP,SLC25A10,KIF20A,CENPA,GPC4,DSC2,CD44,PGM2,SRD5A3,HK2,GCLC,CTH,ALG1,RPE,SDHC,XYLT2,AK4,SLC25A13,GUSB,GOT2,PAXIP1,LHPP,PKP2,GNPDA1,PFKP,KDELR3,ALDH7A1,CASP6,ME2,PLOD2,GPR87
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	Details	125	-0.42336458682704	-1.67827490273841	0.00202839756592292	0.0217364207960557	0	2587	TRIM14,NMI,MTHFD2,PSMA2,PLSCR1,VAMP8,CD74,HLA-DRB1,RIPK2,HERC6,IFITM2,HLA-A,PARP14,MX2,CASP8,TNFAIP2,BST2,NAMPT,TRIM25,STAT3,EPSTI1,LAP3,HLA-B,PIM1,MT2A,TAP1,OAS3,NOD1,PSMB10,HLA-G,LY6E,IFI30,IFITM3,IFIH1,TRIM21,RNF213,PFKP
PURINE NUCLEOTIDES <I>DE NOVO< I> BIOSYNTHESIS%BIOCYC%PWY-841	PURINE NUCLEOTIDES <I>DE NOVO< I> BIOSYNTHESIS%BIOCYC%PWY-841	Details	26	-0.605559886113275	-1.77157846657308	0.00273972602739726	0.0240765171503958	0	2021	IMPDH2,ATIC,ADSL,NME2,PPAT,GART,PAICS,AK2,PFAS,NME1,RRM2,GMPS,NME4,AK4
SUPERPATHWAY OF PURINE NUCLEOTIDE SALVAGE%BIOCYC%PWY66-409	SUPERPATHWAY OF PURINE NUCLEOTIDE SALVAGE%BIOCYC%PWY66-409	Details	26	-0.582437076661184	-1.70393219037253	0.00410958904109589	0.0280130293159609	0	2021	IMPDH2,ADSL,PNP,NME2,HPRT1,APRT,AK2,NME1,RRM2,GMPS,ADA,NME4,ADK,AK4
SUPERPATHWAY OF METHIONINE DEGRADATION%BIOCYC%PWY-5328	SUPERPATHWAY OF METHIONINE DEGRADATION%BIOCYC%PWY-5328	Details	18	-0.651069101653988	-1.74047857313485	0.00805369127516779	0.0429575818398499	0	3166	CBS,MAT1A,AHCY,PCCB,DBT,PCCA,CTH,MAT2B,MAT2A,MCEE,BHMT
EGFR1%IOB%EGFR1	EGFR1%IOB%EGFR1	Details	322	-0.29499063636448	-1.30795442080199	0.00332225913621262	0.0250919264588329	0	1921	EPHA1,LCK,GRB7,CBLC,ARHGEF5,ITLN2,SNX5,PFN1,VASP,PGAM1,PLSCR1,SPRY4,MARVELD2,IQGAP1,LAPTM4A,KRT7,EEF1A1,ERBB3,GRB14,ELF3,RBBP7,KRT18,MYH9,LYN,RPLP0,EIF4EBP1,ACTN1,MYC,MET,RPS2,RPL30,BAIAP2L1,EPHB4,RPS10,ESYT1,RALBP1,C11orf52,S100A14,CAVIN1,PLCG2,HDAC1,PIK3CD,MAP2K3,NEDD4,ITGB1,SNX33,ZDHHC5,FOXO1,ATP1A1,SNRPD2,STAT3,ERBB2,DSG2,RPS6KA1,SHC1,CALD1,CEBPB,SPRY2,EIF4G1,RAB5A,PLD2,LIMD1,MAP2K1,CAV2,ITGB4,HAT1,ACTN4,TGIF1,EPN3
FAS%IOB%FAS	FAS%IOB%FAS	Details	72	-0.420217636164887	-1.53962973177065	0.00505902192242833	0.0320813531606112	0	1988	LCK,EIF4B,PARP1,RIPK2,USO1,LYN,DFFA,MET,XPO5,STK24,CASP8,NEDD4,PRKDC,CASP10,MAP2K1,FADD,UBE4B,WEE1,AIFM1
PID_SYNDECAN_4_PATHWAY%MSIGDB_C2%PID_SYNDECAN_4_PATHWAY	PID_SYNDECAN_4_PATHWAY%MSIGDB_C2%PID_SYNDECAN_4_PATHWAY	Details	20	-0.655593992650156	-1.82422524121824	0.0066577896138482	0.0379288595242641	0	3051	FGFR1,MMP9,FGF2,CXCL12,ACTN1,FZD7,ITGB1,SDC4,MDK,TFPI,LAMA1
SYNDECAN-4-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SYNDECAN-4-MEDIATED SIGNALING EVENTS	SYNDECAN-4-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SYNDECAN-4-MEDIATED SIGNALING EVENTS	Details	28	-0.64793130371244	-1.92598279128013	0.00142247510668563	0.0217364207960557	0	2740	FGFR1,PRKCD,MMP9,FGF2,CXCL12,ACTN1,FZD7,RHOA,ITGB1,SDC4,FN1,DNM2,MDK,TFPI
HIF-1-ALPHA TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%HIF-1-ALPHA TRANSCRIPTION FACTOR NETWORK	HIF-1-ALPHA TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%HIF-1-ALPHA TRANSCRIPTION FACTOR NETWORK	Details	58	-0.459771557248562	-1.6228051954158	0.00301659125188537	0.0243108599221263	0	2858	NPM1,LDHA,EGLN3,TERT,PLIN2,CXCL12,PGK1,ADM,ABCG2,ENO1,ETS1,HK2,PGM1,HNF4A,ALDOA,SP1,HMOX1,FECH,HIF1A,ENG,MCL1
EGFR1%NETPATH%EGFR1	EGFR1%NETPATH%EGFR1	Details	303	-0.317539750452644	-1.39330586610533	0.0032258064516129	0.0246169048104522	0	1921	EPHA1,LCK,GRB7,CBLC,ARHGEF5,ITLN2,SNX5,PFN1,VASP,PGAM1,PLSCR1,SPRY4,MARVELD2,IQGAP1,LAPTM4A,KRT7,EEF1A1,ERBB3,GRB14,ELF3,RBBP7,KRT18,MYH9,LYN,RPLP0,EIF4EBP1,ACTN1,MYC,MET,RPS2,RPL30,ARHGAP42,BAIAP2L1,EPHB4,RPS10,ESYT1,RALBP1,C11orf52,S100A14,CAVIN1,PLCG2,HDAC1,PIK3CD,MAP2K3,NEDD4,ITGB1,SNX33,ZDHHC5,FOXO1,ATP1A1,SNRPD2,ERBB2,DSG2,RPS6KA1,CALD1,CEBPB,SPRY2,EIF4G1,FOXO4,RAB5A,PLD2,LIMD1,MAP2K1,CAV2,ITGB4,HAT1,ACTN4,TGIF1,EPN3
TNFALPHA%NETPATH%TNFALPHA	TNFALPHA%NETPATH%TNFALPHA	Details	156	-0.33037828808667	-1.34893836261539	0.00879120879120879	0.0455749040389833	0	2182	TNFRSF8,TNFRSF11A,FKBP5,RPS13,RPL4,PSMD1,ALPL,FBL,KPNA2,TXN,MTIF2,ERBB3,TRAF5,FANCD2,PPP1R13L,RPL30,TNIP2,PDCD2,HDAC1,PSMD7,SMARCC1,RPL8,FOXO1,MCM5,CASP10,CYBA,FADD,RPL6,LRPPRC,TNFRSF1B,POLR2H,ACTL6A,BAG4,POLR1D
PURINE METABOLISM%PATHWHIZ%PW000052	PURINE METABOLISM%PATHWHIZ%PW000052	Details	33	-0.514994540818921	-1.60280347131361	0.0099290780141844	0.0495900968759345	0	1738	ATIC,ADSL,PNP,HPRT1,PPAT,GART,PAICS,TXN,APRT,PFAS,NUDT5,RRM2,GMPS,ADA
